"GN505.4def"
"Dia"
"M5"
"M6"
"M8"

"GN505.4slotwidths"
"Dia","20 series","30 series","40 series","45 series"
"M5",6,0,0,0
"M6",0,8,0,0
"M8",0,0,8.2,8.5

"GN505.4e1"
"Dia","20 series","30 series","40 series","45 series"
"M5",6,0,0,0
"M6",0,8,0,0
"M8",0,0,8.2,8.5

"GN505.4e2"
"Dia","20 series","30 series","40 series","45 series"
"M5",10,0,0,0
"M6",0,15.5,0,0
"M8",0,0,18,19

"GN505.4h"
"Dia","20 series","30 series","40 series","45 series"
"M5",5,0,0,0
"M6",0,7,0,0
"M8",0,0,9.5,10

"GN505.4k"
"Dia","20 series","30 series","40 series","45 series"
"M5",3.5,0,0,0
"M6",0,5,0,0
"M8",0,0,5.5,5.5

"GN505.4P"
"Dia","20 series","30 series","40 series","45 series"
"M5",0.8,0,0,0
"M6",0,1.0,0,0
"M8",0,0,1.25,1.25

