"GN507def"
"Dia"
"M3"
"M4"
"M5"
"M6"
"M8"

"GN507slotwidths"
"Dia","6mm","8mm","10mm"
"M3",5.8,8,10
"M4",5.8,8,10
"M5",5.8,8,10
"M6",0,8,10
"M8",0,8,10

"GN507e1"
"Dia","6mm","8mm","10mm"
"M3",9.5,16,20
"M4",9.5,16,20
"M5",9.5,16,20
"M6",0,16,20
"M8",0,16,20

"GN507e2"
"Dia","6mm","8mm","10mm"
"M3",9.5,16,20
"M4",9.5,16,20
"M5",9.5,16,20
"M6",0,16,20
"M8",0,16,20

"GN507h"
"Dia","6mm","8mm","10mm"
"M3",4.5,6,10.5
"M4",4.5,6,10.5
"M5",4.5,6,10.5
"M6",0,6,10.5
"M8",0,6,10.5

"GN507k"
"Dia","6mm","8mm","10mm"
"M3",3.3,4.2,5.5
"M4",3.3,4.2,5.5
"M5",3.3,4.2,5.5
"M6",0,4.2,5.5
"M8",0,4.2,5.5

"GN507P"
"Dia","6mm","8mm","10mm"
"M3",0.5,0.5,0.5
"M4",0.7,0.7,0.7
"M5",0.8,0.8,0.8
"M6",0,1.0,1.0
"M8",0,1.25,1.25

