"ASMEB18.2.1.1def"
"Dia","TPI","F","H","R","L_T1","L_T2"
"1/4in",20,0.375,0.171875,0.02,0.75,1
"5/16in",18,0.5,0.203125,0.02,0.875,1.125
"3/8in",16,0.5625,0.25,0.02,1,1.25
"7/16in",14,0.625,0.296875,0.02,1.125,1.375
"1/2in",13,0.75,0.328125,0.02,1.25,1.5
"5/8in",11,0.9375,0.421875,0.04,1.5,1.75
"3/4in",10,1.125,0.5,0.04,1.75,2
"7/8in",9,1.3125,0.59375,0.04,2,2.25
"1in",8,1.5,0.65625,0.06,2.25,2.5
"1 1/8in",7,1.6875,0.75,0.06,2.5,2.75
"1 1/4in",7,1.875,0.84375,0.06,2.75,3
"1 3/8in",6,2.0625,0.90625,0.06,3,3.25
"1 1/2in",6,2.25,1,0.06,3.25,3.5
