"ASMEB18.2.1.1range"
"ASMEB18.2.1.6range"
"Dia","Min_L","Max_L"
"1/4in","3/8in","12in"
"5/16in","1/2in","12in"
"3/8in","1/2in","12in"
"7/16in","3/4in","12in"
"1/2in","3/4in","12in"
"5/8in","3/4in","14in"
"3/4in","1in","14in"
"7/8in","1 1/2in","14in"
"1in","1 1/2in","14in"
"1 1/8in","1 5/8in","14in"
"1 1/4in","1 5/8in","14in"
"1 3/8in","1 3/4in","14in"
"1 1/2in","1 3/4in","14in"
"1 3/4in","2in","14in"
"2in","2 1/2in","14in"
"2 1/4in","2 1/2in","14in"
"2 1/2in","3in","14in"
"2 3/4in","3in","14in"
"3in","3 1/2in","14in"
"3 1/4in","3 3/4in","14in"
"3 1/2in","3 3/4in","14in"
"3 3/4in","4in","14in"
"4in","4in","14in"
