"Nominal","Min","Max"
"1/4″",6.1595,6.5405
"3/8″",9.23925,9.81075
"1/2″",12.319,13.081
"1″",24.638,26.162
"1 1/4″",30.7975,32.7025
"1 3/8″",33.87725,35.97275
"1 1/2″",36.957,39.243
"1 5/8″",40.03675,42.51325
"1 3/4″",43.1165,45.7835
"2″",49.276,52.324
"2 1/4″",55.4355,58.8645
"2 1/2″",61.595,65.405
"2 3/4″",67.7545,71.9455
"3″",73.914,78.486
"3 1/4″",80.0735,85.0265
"3 1/2″",86.233,91.567
"3 3/4″",92.3925,98.1075
"4″",98.552,104.648
"4 1/4″",104.7115,111.1885
"4 1/2″",110.871,117.729
"4 3/4″",117.0305,124.2695
"5″",123.19,130.81
"5 1/4″",129.3495,137.3505
"5 1/2″",135.509,143.891
"6″",147.828,156.972
"6 1/2″",160.147,170.053
"7″",172.466,183.134
"7 1/2″",184.785,196.215
"8″",197.104,209.296
"9″",221.742,235.458
"10″",246.38,261.62
"12″",295.656,313.944
"14″",344.932,366.268
"16″",394.208,418.592
