"Dia","Min_L","Max_L"
"1⁄4″","3/8″","12″"
"5⁄16″","1/2″","12″"
"3⁄8″","1/2″","12″"
"7⁄16″","3/4″","12″"
"1⁄2″","3/4″","12″"
"5⁄8″","3/4″","14″"
"3⁄4″","1″","14″"
"7⁄8″","1 1/2″","14″"
"1″","1 1/2″","14″"
"1 1/8″","1 5/8″","14″"
"1 1/4″","1 5/8″","14″"
"1 3/8″","1 3/4″","14″"
"1 1/2″","1 3/4″","14″"
"1 3/4″","2″","14″"
"2″","2 1/2″","14″"
"2 1/4″","2 1/2″","14″"
"2 1/2″","3″","14″"
"2 3/4″","3″","14″"
"3″","3 1/2″","14″"
"3 1/4″","3 3/4″","14″"
"3 1/2″","3 3/4″","14″"
"3 3/4″","4″","14″"
"4″","4″","14″"
