"ASMEB18.2.2.13def"
"Dia","TPI","F","H"
"#6",32,0.3125,0.5
"#8",32,0.3125,0.625
"#10",24,0.3125,0.75
"1/4in",20,0.4375,1.75
"5/16in",18,0.5,1.75
"3/8in",16,0.5625,1.75
"7/16in",14,0.625,1.75
"1/2in",13,0.6875,1.75
"9/16in",12,0.8125,2.125
"5/8in",11,0.8125,2.125
"3/4in",10,1,2.25
"7/8in",9,1.25,2.5
"1in",8,1.375,2.75
"1 1/8in",7,1.5,3
"1 1/4in",7,1.625,3
"1 1/2in",6,2,3.5
"1 5/8in",5.5,2.5625,4.875
"1 3/4in",5,2.75,5.25
"1 7/8in",5,2.9375,5.625
"2in",4.5,3.125,6
"2 1/4in",4.5,3.5,6.75
"2 1/2in",4,3.875,7.5
"2 3/4in",4,4.25,8.25
"3in",4,4.625,9
"3 1/4in",4,5,9.75
"3 1/2in",4,5.375,10.5
"3 3/4in",4,5.75,11.26
"4in",4,6.125,12
"4 1/4in",4,6.5,12.75
"4 1/2in",4,6.875,13.5
"4 3/4in",4,7.25,14.25
"5in",4,7.625,15
"5 1/4in",4,8,15.75
"5 1/2in",4,8.375,16.5
"5 3/4in",4,8.75,17.25
"6in",4,9.125,18
