"ASMEB18.2.2.1Adef"
"ASMEB18.2.2.1Bdef"
"Dia","P","da","e","m","s"
"#0",0.3175,1.7145,4.4577,1.1811,3.8862
"#1",0.396875,2.085975,4.4577,1.1811,3.8862
"#2",0.453571428571429,2.45745,5.3594,1.5621,4.6736
"#3",0.529166666666667,2.828925,5.3594,1.5621,4.6736
"#4",0.635,3.2004,7.1628,2.3495,6.2357
"#5",0.635,3.571875,8.9535,2.7432,7.7978
"#6",0.79375,3.94335,8.9535,2.7432,7.7978
"#8",0.79375,4.6863,9.8425,3.1369,8.5852
"#10",1.05833333333333,5.42925,10.7442,3.1369,9.3599
"#12",1.05833333333333,6.1722,12.5349,3.9243,10.9347
"1/4in",1.27,7.14375,12.5349,4.7117,10.9347
"5/16in",1.41111111111111,8.9154,16.1417,5.4991,14.0589
"3/8in",1.5875,10.715625,17.9578,6.2992,15.6464
