"ASMEB18.2.2.4Adef"
"ASMEB18.2.2.4Bdef"
"Dia","P","da","e","m_a","m_b","s"
"1/4in",1.27,6.985,12.6111,5.5626,3.9751,10.9982
"5/16in",1.41111111111111,8.73125,14.4018,6.7437,4.7625,12.5603
"3/8in",1.5875,10.4775,16.2306,8.3439,5.5499,14.1478
"7/16in",1.81428571428571,12.22375,19.8374,9.525,6.35,17.3101
"1/2in",1.95384615384615,13.97,21.6662,11.1125,7.9375,18.8722
"9/16in",2.11666666666667,15.71625,25.2984,12.3063,7.9375,22.0472
"5/8in",2.30909090909091,17.4625,27.1018,13.8938,9.525,23.622
"3/4in",2.54,20.955,32.2453,16.2814,10.7188,28.1051
"7/8in",2.82222222222222,24.4475,37.6301,19.05,12.2936,32.7787
"1in",3.175,27.94,42.9895,21.8186,13.8938,37.465
"1 1/8in",3.62857142857143,31.4325,48.3616,24.6126,15.4686,42.1513
"1 1/4in",3.62857142857143,34.925,53.7337,26.9748,18.2626,46.8249
"1 3/8in",4.23333333333333,38.4175,59.1185,29.7688,19.8374,51.5112
"1 1/2in",4.23333333333333,41.91,64.4906,32.5374,21.4376,56.1975
"1 3/4in",5.08,45.4025,69.6468,35.306,23.0124,60.706
"1 7/8in",5.08,48.895,75.2348,38.1,24.6126,65.5701
"2in",5.64444444444444,52.3875,80.645,40.8686,26.1874,70.2945
"2 1/4in",5.64444444444444,55.88,85.979,43.6626,27.7876,74.93
"2 1/2in",6.35,62.865,96.7232,49.2252,30.7594,84.3026
"2 3/4in",6.35,69.85,107.4801,54.7878,35.9156,93.6625
"3in",6.35,76.835,118.2243,60.325,39.0906,103.0351
"3 1/4in",6.35,83.82,128.9685,65.8876,42.2656,112.395
"3 1/2in",6.35,90.805,139.7254,71.4502,45.2374,121.7676
"3 3/4in",6.35,97.79,150.4696,77.0128,48.4251,131.1275
"4in",6.35,104.775,161.2138,82.55,51.5874,140.5001
