"ASMEB18.2.2.5def"
"Dia","TPI","F","H","T","S"
"1/4in",20,0.4375,0.21875,0.13,0.085
"5/16in",18,0.5,0.265625,0.17,0.105
"3/8in",16,0.5625,0.328125,0.2,0.135
"7/16in",14,0.6875,0.375,0.22,0.135
"1/2in",13,0.75,0.4375,0.28,0.165
"9/16in",12,0.875,0.484375,0.3,0.165
"5/8in",11,0.9375,0.546875,0.33,0.21
"3/4in",10,1.125,0.640625,0.39,0.21
"7/8in",9,1.3125,0.75,0.505,0.21
"1in",8,1.5,0.859375,0.575,0.27
"1 1/8in",7,1.6875,0.96875,0.625,0.285
"1 1/4in",7,1.875,1.0625,0.685,0.355
"1 3/8in",6,2.0625,1.171875,0.8,0.355
"1 1/2in",6,2.25,1.28125,0.84,0.415
