"Dia","d1","d2_a","d2_b","d2_c","h_a","h_b","h_c"
"#0",1.7272,3.175,4.7752,6.35,0.635,0.635,0.635
"#1",2.1336,3.9624,5.5626,7.1374,0.635,0.635,0.8128
"#2",2.3876,4.7752,6.35,8.7376,0.635,0.8128,0.8128
"#3",2.7686,5.5626,7.9248,10.3124,0.635,0.8128,1.016
"#4",3.175,6.35,9.525,11.1252,0.8128,1.016,1.016
"#5",3.5814,7.1374,10.3124,12.7,0.8128,1.016,1.016
"#6",3.9624,7.9248,11.1252,14.2748,0.8128,1.016,1.016
"#8",4.7752,9.525,12.7,15.875,1.016,1.016,1.6002
"#10",5.1562,10.3124,14.2748,18.6436,1.016,1.016,1.6002
"#12",5.9436,11.1252,15.875,22.225,1.016,1.6002,1.6002
"1/4in",7.1374,12.7,18.6436,25.4,1.6002,1.6002,1.6002
"5/16in",8.7376,15.875,22.225,28.575,1.6002,1.6002,1.6002
"3/8in",10.3124,18.6436,25.4,31.75,1.6002,1.6002,2.54
"7/16in",11.9126,22.225,28.575,37.3126,1.6002,1.6002,2.54
"1/2in",13.4874,25.4,31.75,44.45,1.6002,2.54,2.54
"9/16in",15.0876,28.575,37.3126,50.8,1.6002,2.54,2.54
"5/8in",16.6624,31.75,44.45,57.15,2.54,2.54,4.064
"3/4in",20.6248,34.925,50.8,63.5,2.54,2.54,4.064
"7/8in",23.8252,37.3126,57.15,69.85,2.54,4.064,4.064
"1in",26.9748,44.45,63.5,76.2,2.54,4.064,4.064
"1 1/8in",30.1752,50.8,69.85,82.55,2.54,4.064,4.064
"1 1/4in",33.3248,57.15,76.2,82.55,4.064,4.064,3.81
"1 3/8in",36.5252,63.5,82.55,101.6,4.064,6.35,6.35
"1 1/2in",39.6748,69.85,889,101.6,4.064,6.35,6.35
"1 5/8in",44.45,76.2,95.25,107.95,4.064,6.35,6.35
"1 3/4in",47.625,82.55,101.6,114.3,4.064,6.35,6.35
"1 7/8in",50.8,88.9,107.95,120.65,6.35,6.35,6.35
"2in",53.975,95.25,114.3,127,6.35,6.35,6.35
"2 1/4in",60.325,101.6,127,139.7,6.35,6.35,9.525
"2 1/2in",66.675,114.3,139.7,152.4,6.35,9.525,9.525
"2 3/4in",73.025,127,152.4,165.1,6.35,9.525,9.525
"3in",79.375,139.7,165.1,177.8,9.525,9.525,9.525
