"ScrewTapInchdef"
"ScrewDieInchdef"
"ThreadedRodInchdef"
"ASMEB18.3.1Adef"
"Dia","P","b","dk_max","k","r","s_mean","t","v","dw"
"#0",0.3175,6.096,2.4384,1.4859,0.0762,1.27,0.635,0.1016,2.31648
"#1",0.396875,7.4168,2.9972,1.8161,0.09271,1.5748,0.7874,0.127,2.84734
"#2",0.453571428571429,8.7376,3.556,2.1463,0.10922,1.9812,0.9652,0.2032,3.3782
"#3",0.529166666666667,10.0584,4.0894,2.4638,0.12573,1.9812,1.1176,0.2032,3.88493
"#4",0.635,11.3792,4.6482,2.794,0.14224,2.3876,1.2954,0.2286,4.41579
"#5",0.635,12.7,5.207,3.1242,0.15875,2.3876,1.4478,0.3048,4.94665
"#6",0.79375,14.0208,5.7404,3.4544,0.17526,2.7686,1.6256,0.3302,5.45338
"#8",0.79375,16.6624,6.858,4.1021,0.20828,3.5814,1.9558,0.3556,6.5151
"#10",1.05833333333333,19.304,7.9248,4.7625,0.2413,3.9624,2.286,0.4572,7.52856
"1/4in",1.27,25.4,9.525,6.2738,0.3175,4.7752,3.048,0.635,9.04875
"5/16in",1.41111111111111,31.75,11.9126,7.8486,0.396875,6.35,3.8354,0.8382,11.31697
"3/8in",1.5875,38.1,14.2748,9.4361,0.47625,7.9248,4.6228,1.016,13.56106
"7/16in",1.81428571428571,44.45,16.6624,11.0236,0.555625,9.525,5.4102,1.1938,15.82928
"1/2in",1.95384615384615,50.8,19.05,12.5984,0.635,9.525,6.223,1.397,18.0975
"5/8in",2.30909090909091,63.5,23.8252,15.7607,0.79375,12.7,7.7978,1.778,22.63394
"3/4in",2.54,76.2,28.575,18.923,0.9525,15.875,9.398,2.159,27.14625
"7/8in",2.82222222222222,88.9,33.3248,22.0853,1.11125,19.05,10.9728,2.54,31.65856
"1in",3.175,101.6,38.1,25.2476,1.27,19.05,12.573,2.8956,36.195
"1 1/8in",3.62857142857143,114.3,42.8752,28.3972,1.42875,22.225,14.1478,3.2766,40.73144
"1 1/4in",3.62857142857143,127,47.625,31.5722,1.5875,22.225,15.748,3.6576,45.24375
"1 3/8in",4.23333333333333,139.7,52.3748,34.7345,1.74625,25.4,17.3228,4.064,49.75606
"1 1/2in",4.23333333333333,152.4,57.15,37.9095,1.905,25.4,18.923,4.4704,54.2925
"1 3/4in",5.08,177.8,66.675,44.2468,2.2225,31.75,22.098,5.2578,63.34125
"2in",5.64444444444444,203.2,76.2,50.5841,2.54,38.1,25.273,6.0452,72.39
"2 1/4in",5.64444444444444,228.6,85.725,56.9214,2.8575,44.45,28.448,6.8326,81.43875
"2 1/2in",6.35,254,95.25,63.2587,3.175,44.45,31.623,7.62,90.4875
"2 3/4in",6.35,279.4,104.775,69.596,3.4925,50.8,34.798,8.4328,99.53625
"3in",6.35,304.8,114.3,88.6333,3.81,57.15,37.973,9.2202,108.585
"3 1/4in",6.35,330.2,123.825,82.2706,4.1275,57.15,41.148,10.0076,117.63375
"3 1/2in",6.35,355.6,133.35,88.6206,4.445,69.85,44.323,10.8204,126.6825
"3 3/4in",6.35,381,142.875,94.9579,4.7625,69.85,47.498,11.6332,135.73125
"4in",6.35,406.4,152.4,101.2952,5.08,76.2,50.673,12.4206,144.78
