"ASMEB18.3.1Gdef"
"dia","P","b","A","H","C_max","J","T","K","r"
"#4",0.025,0.448,0.1805,0.056,0.009,0.05,0.038,0.008,0.0056
"#5",0.025,0.5,0.2025,0.062,0.012,0.062,0.044,0.008,0.00625
"#6",0.03125,0.552,0.2235,0.069,0.013,0.062,0.05,0.008,0.0069
"#8",0.03125,0.656,0.2675,0.082,0.014,0.078,0.06,0.008,0.0082
"#10",0.0416666666666665,0.76,0.3095,0.095,0.018,0.094,0.072,0.008,0.0095
"1/4in",0.05,1,0.372,0.124,0.025,0.125,0.094,0.01,0.0125
"5/16in",0.0555555555555555,1.25,0.434,0.155,0.033,0.156,0.11,0.01,0.015625
"3/8in",0.0625,1.5,0.559,0.187,0.04,0.188,0.115,0.01,0.01875
"7/16in",0.0714285714285713,1.75,0.6215,0.218,0.047,0.219,0.135,0.015,0.021875
"1/2in",0.0769230769230768,2,0.7465,0.249,0.055,0.25,0.151,0.015,0.025
"5/8in",0.090909090909091,2.5,0.871,0.311,0.07,0.312,0.25,0.015,0.03125
