"ASMEB18.3.2def"
"Dia","P","b","dk_theo","dk_mean","k","r","s","t"
"#0",0.3175,6.096,3.5052,3.2385,1.1176,0.0762,0.889,0.635
"#1",0.396875,7.4168,4.2672,3.9497,1.3716,0.09271,1.27,0.7874
"#2",0.453571428571429,8.7376,5.0038,4.6355,1.6256,0.10922,1.27,0.9652
"#3",0.529166666666667,10.0584,5.7404,5.3213,1.8542,0.12573,1.5748,1.1176
"#4",0.635,11.3792,6.477,6.0071,2.1082,0.14224,1.5748,1.397
"#5",0.635,12.7,7.1374,6.6167,2.286,0.15875,1.9812,1.5494
"#6",0.79375,14.0208,7.7978,7.239,2.4638,0.17526,1.9812,1.6764
"#8",0.79375,16.6624,9.1186,8.509,2.8448,0.20828,2.3876,1.9304
"#10",1.05833333333333,19.304,10.4394,9.779,3.2258,0.2413,3.175,2.2098
"1/4in",1.27,25.4,13.4874,12.8397,4.0894,0.3175,3.9624,2.8194
"5/16in",1.41111111111111,31.75,16.6624,15.9512,5.0292,0.396875,4.7752,3.429
"3/8in",1.5875,38.1,19.8374,19.0627,5.9436,0.47625,5.5626,4.0386
"7/16in",1.81428571428571,44.45,21.4376,20.6375,5.9436,0.555625,6.35,4.0386
"1/2in",1.95384615384615,50.8,23.8252,22.987,6.3754,0.635,7.9248,4.3688
"5/8in",2.30909090909091,63.5,30.1752,29.21,8.2296,0.79375,9.525,5.588
"3/4in",2.54,76.2,36.5252,35.4711,10.0584,0.9525,12.7,5.588
"7/8in",2.82222222222222,88.9,42.8752,41.8084,11.8872,1.11125,14.2748,6.2992
"1in",3.175,101.6,49.2252,47.9933,13.716,1.27,15.875,7.5438
"1 1/8in",3.62857142857143,114.3,55.5752,54.1909,15.5194,1.42875,19.05,8.255
"1 1/4in",3.62857142857143,127,61.9252,60.3758,17.3482,1.5875,22.225,9.0932
"1 3/8in",4.23333333333333,139.7,68.2752,66.5607,19.177,1.74625,22.225,10.2108
"1 1/2in",4.23333333333333,152.4,74.6252,72.7583,21.0058,1.905,25.4,11.049
