"ASMEB18.3.3Adef"
"Dia","P","b","da","dk","s","t","r","k"
"#0",0.3175,6.096,1.64592,2.8956,0.889,0.48895,0.06096,0.8382
"#1",0.396875,7.4168,2.002536,3.5306,1.27,0.6985,0.074168,1.01981
"#2",0.453571428571429,8.7376,2.359152,4.1656,1.27,0.6985,0.087376,1.20142
"#3",0.529166666666667,10.0656,2.717712,4.7752,1.5875,0.873125,0.100656,1.38402
"#4",0.635,11.3792,3.072384,5.4102,1.5875,0.873125,0.113792,1.56464
"#5",0.635,12.7,3.429,6.0452,1.984375,1.09140625,0.127,1.74625
"#6",0.79375,14.0208,3.785616,6.6548,1.984375,1.09140625,0.140208,1.92786
"#8",0.79375,16.6624,4.498848,7.9248,2.38125,1.3096875,0.166624,2.29108
"#10",1.05833333333333,19.304,5.21208,9.1694,3.175,1.74625,0.19304,2.6543
"#12",1.05833333333333,21.9456,5.925312,10.414,3.571875,1.96453125,0.219456,3.01752
"1/4in",1.27,25.4,6.858,11.0998,3.96875,2.1828125,0.254,3.4925
"5/16in",1.41111111111111,31.75,8.5725,13.8938,4.7625,2.619375,0.3175,4.365625
"3/8in",1.5875,38.1,10.287,16.6624,5.55625,3.0559375,0.381,5.23875
"7/16in",1.81428571428571,44.45,12.0015,19.431,6.35,3.4925,0.4445,6.111875
"1/2in",1.95384615384615,50.8,13.716,22.225,7.9375,4.365625,0.508,6.985
"5/8in",2.30909090909091,63.5,17.145,25.4,9.525,5.23875,0.635,8.73125
"3/4in",2.54,76.2,20.574,27.94,11.1125,6.111875,0.762,10.4775
