"ASMEB18.3.4def"
"Dia","P","d1","d3","l2","l3","SW"
"#10",1.05833333333333,6.35,9.2964,9.525,4.6355,3.175
"1/4in",1.27,7.9375,10.8839,11.1252,5.4356,3.96875
"5/16in",1.41111111111111,9.525,14.0335,12.7,6.223,4.7625
"3/8in",1.5875,12.7,18.7833,15.875,7.7978,6.35
"1/2in",1.95384615384615,15.875,21.9456,19.05,9.398,7.9375
"5/8in",2.30909090909091,19.05,25.1079,22.225,12.573,9.525
"3/4in",2.54,25.4,33.0073,25.4,15.6972,12.7
"7/8in",2.82222222222222,28.575,44.1071,28.575,18.8595,15.875
"1 1/8in",3.62857142857143,38.1,53.594,38.1,25.146,22.225
"1 1/4in",3.62857142857143,44.45,59.944,44.45,28.321,25.4
"1 1/2in",4.23333333333333,50.8,69.469,50.8,31.496,31.75
