"ASMEB18.3.5Adef"
"ASMEB18.3.5Bdef"
"ASMEB18.3.5Cdef"
"ASMEB18.3.5Ddef"
"Dia","P","t","dp","dt","df","s","z"
"#0",0.3175,1.27,0.762,0.3048,0.9779,0.7112,0.381
"#1",0.396875,1.524,0.9271,0.37084,1.1938,0.889,0.4826
"#2",0.453571428571429,1.524,1.0922,0.43688,1.397,0.889,0.5588
"#3",0.529166666666667,1.778,1.2573,0.50292,1.6256,1.27,0.635
"#4",0.635,1.778,1.4224,0.56896,1.8415,1.27,0.7112
"#5",0.635,2.032,1.5748,0.635,2.0447,1.5748,0.762
"#6",0.79375,2.032,1.7526,0.70104,2.2733,1.5748,0.889
"#8",0.79375,2.286,2.0701,0.83312,2.6924,1.9812,1.016
"#10",1.05833333333333,2.54,2.413,0.9652,3.1369,2.3876,1.143
"1/4in",1.27,3.175,3.175,1.27,3.8735,3.175,1.6002
"5/16in",1.41111111111111,3.9624,4.1656,1.5875,5.0546,3.9624,1.9812
"3/8in",1.5875,4.7752,5.1562,1.905,6.2357,4.7752,2.3876
"7/16in",1.81428571428571,5.5626,6.1468,2.2225,7.4168,5.5626,2.7686
"1/2in",1.95384615384615,6.35,7.1247,2.54,8.6106,6.35,3.175
"5/8in",2.30909090909091,7.9248,9.1186,3.175,11.7475,7.9248,3.9624
"3/4in",2.54,9.525,11.1125,3.81,14.1097,9.525,4.7752
"7/8in",2.82222222222222,12.7,13.1064,4.445,16.4846,12.7,5.5626
"1in",3.175,14.2748,15.0876,5.08,18.8468,14.2748,6.35
"1 1/8in",3.62857142857143,14.2748,17.0688,5.715,21.209,14.2748,7.1374
"1 1/4in",3.62857142857143,15.875,19.05,6.35,23.5966,15.875,7.9502
"1 3/8in",4.23333333333333,15.875,21.0312,6.985,25.9334,15.875,8.7376
"1 1/2in",4.23333333333333,19.05,23.0124,7.62,28.321,19.05,9.525
"1 3/4in",5.08,25.4,26.9875,8.89,33.0327,25.4,11.1252
"2in",5.64444444444444,25.4,30.9499,10.16,37.7698,25.4,12.7
