"ASMEB18.6.1.5def"
"ASMEB18.6.1.4def"
"ASMEB18.6.1.3def"
"ASMEB18.6.1.2def"
"Dia","P","E","F","Amax","Amin","H","J","T","R"
"#0",0.03125,0.064,0.01,0.119,0.099,0.035,0.023,0.015,0.031
"#1",0.035714285,0.077,0.01,0.146,0.123,0.043,0.026,0.019,0.031
"#2",0.038461538,0.09,0.01,0.172,0.147,0.051,0.031,0.023,0.031
"#3",0.041666666,0.103,0.014,0.199,0.171,0.059,0.035,0.027,0.031
"#4",0.045454545,0.116,0.016,0.225,0.195,0.067,0.039,0.03,0.031
"#5",0.05,0.129,0.129,0.252,0.22,0.075,0.043,0.034,0.062
"#6",0.055555556,0.142,0.02,0.279,0.244,0.083,0.048,0.038,0.062
"#7",0.0625,0.155,0.012,0.305,0.268,0.091,0.048,0.041,0.062
"#8",0.066666667,0.168,0.023,0.332,0.292,0.1,0.054,0.045,0.062
"#9",0.071428571,0.181,0.026,0.358,0.316,0.108,0.054,0.049,0.062
"#10",0.076923076,0.194,0.03,0.385,0.34,0.116,0.06,0.053,0.062
"#12",0.090909091,0.22,0.031,0.438,0.389,0.132,0.067,0.06,0.062
"#14",0.1,0.246,0.035,0.507,0.425,0.153,0.075,0.07,0.093
"#16",0.111111111,0.272,0.038,0.544,0.485,0.164,0.075,0.075,0.093
"#18",0.125,0.298,0.042,0.635,0.568,0.191,0.084,0.083,0.093
"#20",0.125,0.324,0.046,0.65,0.582,0.196,0.084,0.09,0.093
"#24",0.142857142,0.376,0.05,0.762,0.685,0.23,0.094,0.106,0.093
