"ASMEB18.6.3.10Bdef"
"ASMEB18.6.3.10Adef"
"Dia","P","A","H","O","J","T"
"#0",0.01250,0.096,0.043,0.055,0.023,0.025
"#1",0.01563,0.118,0.053,0.066,0.026,0.031
"#2",0.01786,0.14,0.062,0.083,0.031,0.037
"#3",0.02083,0.161,0.07,0.095,0.035,0.043
"#4",0.02500,0.183,0.079,0.107,0.039,0.048
"#5",0.02500,0.205,0.088,0.12,0.043,0.054
"#6",0.03125,0.226,0.096,0.132,0.048,0.06
"#8",0.03125,0.27,0.113,0.156,0.054,0.071
"#10",0.04167,0.313,0.13,0.18,0.06,0.083
"#12",0.04167,0.357,0.148,0.205,0.067,0.094
"1/4in",0.05000,0.414,0.17,0.237,0.075,0.109
"5/16in",0.05556,0.518,0.211,0.295,0.084,0.137
"3/8in",0.06250,0.622,0.253,0.355,0.094,0.164
"7/16in",0.07143,0.625,0.265,0.368,0.094,0.17
"1/2in",0.07692,0.75,0.297,0.412,0.106,0.19
"9/16in",0.08333,0.812,0.336,0.466,0.118,0.214
"5/8in",0.09091,0.875,0.375,0.521,0.133,0.24
"3/4in",0.10000,1,0.441,0.612,0.149,0.281
