"ASMEB18.6.3.16Bdef"
"ASMEB18.6.3.16Adef"
"Dia","P","A","H","J","T"
"#0",0.3175,0.113,0.053,0.023,0.039
"#1",0.396875,0.138,0.061,0.026,0.044
"#2",0.453571428571429,0.162,0.069,0.031,0.048
"#3",0.529166666666667,0.187,0.078,0.035,0.053
"#4",0.635,0.211,0.086,0.039,0.058
"#5",0.635,0.236,0.095,0.043,0.063
"#6",0.79375,0.26,0.103,0.048,0.068
"#8",0.79375,0.309,0.120,0.054,0.077
"#10",1.05833333333333,0.359,0.137,0.06,0.087
"#12",1.05833333333333,0.408,0.153,0.067,0.096
"1/4in",1.27,0.472,0.175,0.075,0.109
"5/16in",1.41111111111111,0.59,0.216,0.084,0.132
"3/8in",1.5875,0.708,0.256,0.094,0.155
"7/16in",1.81428571428571,0.75,0.328,0.094,0.196
"1/2in",1.95384615384615,0.813,0.355,0.106,0.211
"9/16in",2.166666667,0.938,0.41,0.118,0.242
"5/8in",2.30909090909091,1.0,0.438,0.133,0.258
"3/4in",2.54,1.25,0.547,0.149,0.32
