"ASMEB18.6.3.1Adef"
"Dia","P","b","dk_theo","dk_mean","k","n_min","r","t_mean"
"#0",0.3175,3.696,2.8448,2.6416,0.889,0.4953,0.1524,0.3175
"#1",0.396875,4.4968,3.4798,3.2639,1.0922,0.5715,0.18542,0.3937
"#2",0.453571428571429,5.2976,4.1148,3.8862,1.2954,0.6858,0.21844,0.4826
"#3",0.529166666666667,6.0984,4.7498,4.4958,1.4986,0.7874,0.25146,0.5588
"#4",0.635,6.8992,5.3848,5.1181,1.7018,0.889,0.28448,0.635
"#5",0.635,7.7,6.0198,5.7404,1.905,0.9906,0.3175,0.7112
"#6",0.79375,8.5008,6.6548,6.35,2.1082,1.1049,0.35052,0.7874
"#8",0.79375,10.1024,7.9248,7.5819,2.54,1.2573,0.41656,0.9398
"#10",1.05833333333333,11.704,9.1948,8.8265,2.9464,1.397,0.4826,1.1049
"#12",1.058333333,13.3056,10.4648,10.0584,3.3528,1.5621,0.54864,1.2573
"1/4in",1.27,15.4,12.1158,11.6713,3.8862,1.7653,0.635,1.4732
"5/16in",1.41111111111111,19.25,15.1638,14.6431,4.8514,1.9812,0.79375,1.8542
"3/8in",1.5875,23.1,18.2118,17.6149,5.842,2.2225,0.9525,2.2352
"7/16in",1.81428571428571,26.95,19.304,18.7325,5.6642,2.2225,1.11125,2.1463
"1/2in",1.95384615384615,30.8,20.701,20.066,5.6642,2.5019,1.27,2.1336
"9/16in",2.166666667,34.65,23.6728,22.987,6.604,2.794,1.42875,2.5019
"5/8in",2.30909090909091,38.5,26.67,25.908,7.5692,3.1623,1.5875,2.8575
"3/4in",2.54,46.2,32.639,31.75,9.4488,3.556,1.905,3.5814
