"ASMEB18.6.3.9Adef"
"Dia","P","A","H","R","J","T"
"#0",0.01250,0.116,0.039,0.02,0.023,0.022
"#1",0.01563,0.142,0.046,0.025,0.026,0.027
"#2",0.01786,0.167,0.053,0.035,0.031,0.031
"#3",0.02083,0.193,0.06,0.037,0.035,0.036
"#4",0.02500,0.219,0.068,0.042,0.039,0.04
"#5",0.02500,0.245,0.075,0.044,0.043,0.045
"#6",0.03125,0.27,0.082,0.046,0.048,0.05
"#8",0.03125,0.322,0.096,0.052,0.054,0.058
"#10",0.04167,0.373,0.11,0.061,0.06,0.068
"#12",0.04167,0.425,0.125,0.078,0.067,0.077
"1/4in",0.05000,0.492,0.144,0.087,0.075,0.087
"5/16in",0.05556,0.615,0.178,0.099,0.084,0.106
"3/8in",0.06250,0.74,0.212,0.143,0.094,0.124
"7/16in",0.07143,0.863,0.247,0.153,0.094,0.142
"1/2in",0.07692,0.987,0.281,0.175,0.106,0.161
"9/16in",0.08333,1.041,0.315,0.197,0.118,0.179
"5/8in",0.09091,1.172,0.35,0.219,0.133,0.197
"3/4in",0.10000,1.435,0.419,0.263,0.149,0.234
