"ASMEB18.6.3.9Bdef"
"Dia","P","A","H","R","M","cT"
"#0",0.01250,0.116,0.044,0.005,0.06,"0"
"#1",0.01563,0.142,0.053,0.005,0.067,"0"
"#2",0.01786,0.167,0.062,0.01,0.097,"1"
"#3",0.02083,0.193,0.071,0.01,0.105,"1"
"#4",0.02500,0.219,0.08,0.01,0.115,"1"
"#5",0.02500,0.245,0.089,0.015,0.152,"2"
"#6",0.03125,0.27,0.097,0.015,0.159,"2"
"#8",0.03125,0.322,0.115,0.015,0.175,"2"
"#10",0.04167,0.373,0.133,0.02,0.192,"2"
"#12",0.04167,0.425,0.151,0.025,0.252,"3"
"1/4in",0.05000,0.492,0.175,0.035,0.274,"3"
"5/16in",0.05556,0.615,0.218,0.04,0.343,"4"
"3/8in",0.06250,0.74,0.261,0.04,0.382,"4"
"7/16in",0.07143,0.863,0.305,0.05,0.406,"4"
"1/2in",0.07692,0.987,0.348,0.055,0.428,"4"
"9/16in",0.08333,1.041,0.391,0.065,0.458,"4"
"5/8in",0.09091,1.172,0.434,0.075,0.575,"4"
"3/4in",0.10000,1.435,0.521,0.085,0.621,"4"
