"ASMEB18.6.9Adef"
"Dia","TPI","A","B","C","D","E","G"
"#3",48,0.655,0.345,0.09,0.19,0.31,0.12
"#4",40,0.655,0.345,0.09,0.19,0.31,0.12
"#5",40,0.655,0.345,0.09,0.19,0.31,0.12
"#6",32,0.845,0.405,0.12,0.245,0.41,0.16
"#8",32,0.845,0.405,0.12,0.245,0.41,0.16
"#10",24,0.845,0.405,0.12,0.245,0.41,0.16
"#12",24,1.035,0.5,0.16,0.295,0.475,0.195
"1/4in",20,1.035,0.5,0.16,0.295,0.475,0.195
"5/16in",18,1.185,0.595,0.19,0.355,0.545,0.225
"3/8in",16,1.375,0.72,0.22,0.45,0.67,0.28
"7/16in",14,1.875,0.935,0.295,0.595,0.895,0.37
"1/2in",13,1.875,0.935,0.295,0.595,0.895,0.37
"9/16in",12,2.69,1.375,0.37,0.85,1.16,0.53
"5/8in",11,2.69,1.375,0.37,0.85,1.16,0.53
"3/4in",10,2.69,1.375,0.37,0.85,1.16,0.53
