"BSPthreaddef"
"ScrewTapBSPPdef"
"ScrewDieBSPPdef"
"Dia","P","TPI","MajorDia","MinorDia","Type","tunIn","tunEx"
"G1/16",0.907,28,7.723,6.561,"BSPP",480,480
"G1/8",0.907,28,9.728,8.566,"BSPP",480,480
"G1/4",1.337,19,13.157,11.445,"BSPP",480,480
"G3/8",1.337,19,16.662,14.950,"BSPP",480,480
"G1/2",1.814,14,20.955,18.632,"BSPP",480,480
"G5/8",1.814,14,22.911,20.588,"BSPP",480,480
"G3/4",1.814,14,26.441,24.118,"BSPP",480,480
"G7/8",1.814,14,30.201,27.878,"BSPP",480,480
"G1",2.309,11,33.249,30.292,"BSPP",480,480
"G1-1/8",2.309,11,37.897,34.940,"BSPP",480,480
"G1-1/4",2.309,11,41.910,38.953,"BSPP",480,480
"G1-3/8",2.309,11,44.320,41.363,"BSPP",480,480
"G1-1/2",2.309,11,47.803,44.846,"BSPP",480,480
"G1-3/4",2.309,11,53.746,50.789,"BSPP",480,480
"G2",2.309,11,59.614,56.657,"BSPP",480,480
"G2-1/4",2.309,11,65.710,62.753,"BSPP",480,480
"G2-1/2",2.309,11,75.184,72.227,"BSPP",480,480
"G2-3/4",2.309,11,81.534,78.577,"BSPP",480,480
"G3",2.309,11,87.884,84.927,"BSPP",480,480
"G3-1/2",2.309,11,100.330,97.373,"BSPP",480,480
"G4",2.309,11,113.030,110.073,"BSPP",480,480
"G4-1/2",2.309,11,125.730,122.773,"BSPP",480,480
"G5",2.309,11,138.430,135.473,"BSPP",480,480
"G5-1/2",2.309,11,151.130,148.173,"BSPP",480,480
"G6",2.309,11,163.830,160.873,"BSPP",480,480
