"DIN1151-Adef"
"Size","d_1","l_1"
"9x13",0.9,13
"10x15",1,15
"12x20",1.2,20
"14x25",1.4,25
"16x30",1.6,30

"DIN1151-Bdef"
"Size","d_1","l_1"
"18x35",1.8,35
"20x40",2.0,40
"22x45",2.2,45
"22x50",2.2,50
"25x55",2.5,55
"25x60",2.5,60
"28x65",2.8,65
"31x65",3.1,65
"31x70",3.1,70
"31x80",3.1,80
"34x80",3.4,80
"34x90",3.4,90
"38x100",3.8,100
"42x100",4.2,100
"42x110",4.2,110
"42x120",4.2,120
"46x130",4.6,130
"55x140",5.5,140
"55x160",5.5,160
"60x180",6.0,180
"70x210",7.0,210
"76x230",7.6,230
"76x260",7.6,260
"88x260",8.8,260
