"DIN130def"
"DIN130pitch"
"Dia","pitch"
"Unit","mm"
"Tr8","1.5"
"Tr9","2 1.5"
"Tr10","2 1.5"
"Tr11","2 3"
"Tr12","3 2"
"Tr14","3 2"
"Tr16","4 2"
"Tr18","4 2"
"Tr20","4 2"
"Tr22","5 3 8"
"Tr24","5 3 8"
"Tr26","5 3 8"
"Tr28","5 3 8"
"Tr30","6 3 10"
"Tr32","6 3 10"
"Tr34","6 3 10"
"Tr36","6 3 10"
"Tr38","7 3 10"
"Tr40","7 3 10"
"Tr42","7 3 10"
"Tr44","7 3 12"
"Tr46","8 3 12"
"Tr48","8 3 12"
"Tr50","8 3 12"
"Tr52","8 3 12"
"Tr55","9 3 14"
"Tr60","9 3 14"
"Tr65","10 4 16"
"Tr70","10 4 16"
"Tr75","10 4 16"
"Tr80","10 4 16"
"Tr85","12 4 18"
"Tr90","12 4 18"
"Tr95","12 4 18"
"Tr100","12 4 20"
"Tr105","12 4 20"
"Tr110","12 4 20"
"Tr115","14 6 22"
"Tr120","14 6 22"
"Tr125","14 6 22"
"Tr130","14 6 22"
"Tr135","14 6 24"
"Tr140","14 6 24"
"Tr145","14 6 24"
"Tr150","16 6 24"
"Tr155","16 6 24"
"Tr160","16 6 28"
"Tr165","16 6 28"
"Tr170","16 6 28"
"Tr175","16 8 28"
"Tr180","18 8 28"
"Tr185","18 8 32"
"Tr190","18 8 32"
"Tr195","18 8 32"
"Tr200","18 8 32"
"Tr210","20 8 36"
"Tr220","20 8 36"
"Tr230","20 8 36"
"Tr240","22 8 36"
"Tr250","22 12 40"
"Tr260","22 12 40"
"Tr270","24 12 40"
"Tr280","24 12 40"
"Tr290","24 12 44"
"Tr300","24 12 44"

"DIN130clearance"
"pitch","ac"
1.5,0.15
2,0.25
3,0.25
4,0.25
5,0.25
6,0.5
7,0.5
8,0.5
9,0.5
10,0.5
11,0.5
12,0.5
14,1
16,1
18,1
20,1
22,1
24,1
28,1
32,1
36,1
40,1
44,1


