"DIN464def"
"DIN465def"
"Dia","b","c","dk_nom","dk_max","dk_min","ds_nom_max","ds_min","h_nom","h_max","h_min","k_nom_max","k_min","n_nom","n_min","n_max","r","t_min","t_max","x","knurling"
"M1",3,,5.5,5.74,5.26,2.8,2.55,3.5,3.74,3.26,1.5,1.25,0.3,0.36,0.5,0.5,0.7,0.9,0.6,0.5
"M1.2",3.5,,6,6.24,5.76,3,2.75,4,4.24,3.76,1.5,1.25,0.4,0.46,0.6,0.5,0.8,1,0.6,0.5
"M1.4",4,,7,7.29,6.71,3.5,3.2,4.7,4.94,4.46,2,1.75,0.4,0.46,0.6,0.5,0.9,1.15,0.75,0.5
"M1.6",5,,7.5,7.79,7.21,3.8,3.5,5,5.24,4.76,2,1.75,0.4,0.46,0.6,0.5,1,1.3,0.9,0.5
"M2",6,0.3,9,9.29,8.71,4.5,4.2,5.3,5.54,5.06,2,1.75,0.5,0.56,0.7,0.5,1.1,1.4,1,0.5
"M2.5",8,0.3,11,11.35,10.65,5,4.7,6.5,6.79,6.21,2.5,2.25,0.6,0.66,0.8,0.5,1.5,1.8,1.1,0.6
"M3",9,0.4,12,12.35,11.65,6,5.7,7.5,7.79,7.21,2.5,2.25,0.8,0.86,1,0.5,1.8,2.2,1.25,0.6
"M4",12,0.4,16,16.35,15.65,8,7.64,9.5,9.79,9.21,3.5,3.2,1,1.06,1.2,0.5,2.2,2.7,1.75,0.6
"M5",15,0.5,20,20.42,19.58,10,9.64,11.5,11.85,11.15,4,3.7,1.2,1.26,1.51,1,2.8,3.4,2,0.6
"M6",18,0.6,24,24.42,23.58,12,11.57,15,15.35,14.65,5,4.7,1.6,1.66,1.91,1,3.5,4.3,2.5,0.6
"M8",24,0.6,30,30.42,29.58,16,15.57,18,18.35,17.65,6,5.7,2,2.06,2.31,2,4.5,5.5,3.2,0.6
"M10",30,0.8,36,36.5,35.5,20,19.48,23,23.42,22.58,8,7.64,2.5,2.56,2.81,2,6,7,3.8,0.8

"DIN464length"
"DIN465length"
"Nominal","min","max"
"2",1.9,2.1
"3",2.9,3.1
"4",3.9,4.1
"5",4.8,5.2
"6",5.8,6.2
"8",7.8,8.2
"10",9.7,10.3
"12",11.7,12.3
"(14)",13.7,14.3
"16",15.7,16.3
"(18)",17.7,18.3
"20",19.6,20.4
"(22)",21.6,22.4
"25",24.6,25.6
"(28)",27.6,28.4
"30",29.6,30.4
"(32)",31.5,32.5
"35",34.5,35.5
"(38)",37.5,38.5
"40",39.5,40.5

"DIN464range"
"DIN465range"
"Dia","min_L","max_L"
"M1","2","5"
"M1.2","2","5"
"M1.4","2","6"
"M1.6","2","8"
"M2","3","10"
"M2.5","3","12"
"M3","4","16"
"M4","5","18"
"M5","6","20"
"M6","8","25"
"M8","12","28"
"M10","18","40"
