"DIN472def"
"Dia","S","d_3","a_Max","b","d5_Min","groove_dia"
"8 mm",0.8,8.7,2.4,1.1,1,8.4
"9 mm",0.8,9.8,2.5,1.3,1,9.4
"10 mm",1,10.8,3.2,1.4,1.2,10.4
"11 mm",1,11.8,3.3,1.5,1.2,11.4
"12 mm",1,13,3.4,1.7,1.5,12.5
"13 mm",1,14.1,3.6,1.8,1.5,13.6
"14 mm",1,15.1,3.7,1.9,1.7,14.6
"15 mm",1,16.2,3.7,2,1.7,15.7
"16 mm",1,17.3,3.8,2,1.7,16.8
"17 mm",1,18.3,3.9,2.1,1.7,17.8
"18 mm",1,19.5,4.1,2.2,2,19
"19 mm",1,20.5,4.1,2.2,2,20
"20 mm",1,21.5,4.2,2.3,2,21
"21 mm",1,22.5,4.2,2.4,2,22
"22 mm",1,23.5,4.2,2.5,2,23
"23 mm",1.2,24.6,4.2,2.5,2,24.1
"24 mm",1.2,25.9,4.4,2.6,2,25.2
"25 mm",1.2,26.9,4.5,2.7,2,26.2
"26 mm",1.2,27.9,4.7,2.8,2,27.2
"27 mm",1.2,29.1,4.7,2.9,2,28.4
"28 mm",1.2,30.1,4.8,2.9,2,20.4
"29 mm",1.2,31.1,4.8,3,2,30.4
"30 mm",1.2,32.1,4.8,3,2,31.4
"31 mm",1.2,33.4,5.2,3.2,2.5,32.7
"32 mm",1.2,34.4,5.4,3.2,2.5,33.7
"33 mm",1.2,35.5,5.4,3.3,2.5,34.7
"34 mm",1.5,36.5,5.4,3.3,2.5,35.7
"35 mm",1.5,37.8,5.4,3.4,2.5,37
"36 mm",1.5,38.8,5.4,3.5,2.5,38
"37 mm",1.5,39.8,5.5,3.6,2.5,39
"38 mm",1.5,40.8,5.5,3.7,2.5,40
"39 mm",1.5,42.5,5.6,3.8,2.5,41
"40 mm",1.75,43.5,5.8,3.9,2.5,42.5
"41 mm",1.75,44.5,5.9,4,2.5,43.5
"42 mm",1.75,45.5,5.9,4.1,2.5,44.5
"43 mm",1.75,46.5,5.9,4.2,2.5,45.5
"44 mm",1.75,47.5,6,4.2,2.5,46.5
"45 mm",1.75,48.5,6.2,4.3,2.5,47.5
"46 mm",1.75,49.5,6.3,4.4,2.5,48.5
"47 mm",1.75,50.5,6.4,4.4,2.5,49.5
"48 mm",1.75,51.5,6.4,4.5,2.5,50.5
"49 mm",1.75,52.5,6.5,4.5,2.5,51.5
"50 mm",2,54.2,6.5,4.6,2.5,53
"51 mm",2,55.2,6.5,4.7,2.5,54
"52 mm",2,56.2,6.7,4.7,2.5,55
"53 mm",2,57.2,6.7,4.9,2.5,56
"54 mm",2,58.2,6.7,5,2.5,57
"55 mm",2,59.2,6.8,5,2.5,58
"56 mm",2,60.2,6.8,5.1,2.5,59
"57 mm",2,61.2,6.8,5.1,2.5,60
"58 mm",2,62.2,6.9,5.2,2.5,61
"60 mm",2,64.2,7.3,5.4,2.5,63
"62 mm",2,66.2,7.3,5.5,2.5,65
"63 mm",2,67.2,7.3,5.6,2.5,66
"64 mm",2,68.2,7.6,5.8,2.5,67
"65 mm",2.5,69.2,7.6,5.8,3,68
"67 mm",2.5,71.5,7.7,6,3,70
"68 mm",2.5,72.5,7.8,6.1,3,71
"70 mm",2.5,74.5,7.8,6.2,3,73
"72 mm",2.5,76.5,7.8,6.4,3,75
"75 mm",2.5,79.5,7.8,6.6,3,78
"77 mm",2.5,81.5,7.9,6.7,3,80
"78 mm",2.5,82.5,8.5,6.8,3,81
"80 mm",2.5,85.5,8.5,7,3,83.5
"82 mm",2.5,87.5,8.5,7,3,85.5
"85 mm",3,90.5,8.6,7.2,3.5,88.5
"87 mm",3,92.5,8.6,7.3,3.5,90.5
"88 mm",3,93.5,8.6,7.4,3.5,91.5
"90 mm",3,95.5,8.6,7.6,3.5,93.5
"92 mm",3,97.5,8.7,7.8,3.5,95.5
"95 mm",3,100.5,8.8,8.1,3.5,98.5
"97 mm",3,102.5,8.8,8.2,3.5,100.5
"98 mm",3,103.5,9,8.3,3.5,101.5
"100 mm",3,105.5,9.2,8.4,3.5,103
"102 mm",4,108,9.5,8.5,3.5,106
"105 mm",4,112,9.5,8.7,3.5,109
"107 mm",4,114,9.5,8.8,3.5,111
"108 mm",4,115,9.5,8.9,3.5,112
"110 mm",4,117,10.4,9,3.5,114
"112 mm",4,119,10.5,9.1,3.5,116
"115 mm",4,122,10.5,9.3,3.5,119
"117 mm",4,124,10.6,9.5,3.5,121
"118 mm",4,125,10.7,9.6,3.5,122
"120 mm",4,127,11,9.7,3.5,124
"122 mm",4,129,11,9.8,4,126
"125 mm",4,132,11,10,4,129
"127 mm",4,134,11,10.1,4,131
"128 mm",4,135,11,10.2,4,132
"130 mm",4,137,11,10.2,4,134
"132 mm",4,139,11,10.3,4,136
"135 mm",4,142,11.2,10.5,4,139
"137 mm",4,144,11.2,10.5,4,141
"138 mm",4,145,11.2,10.6,4,142
"140 mm",4,147,11.2,10.7,4,144
"142 mm",4,149,11.3,10.8,4,146
"145 mm",4,152,11.4,10.9,4,149
"147 mm",4,154,11.6,11,4,151
"148 mm",4,155,11.8,11.1,4,152
"150 mm",4,158,12,11.2,4,155
"152 mm",4,161,12,11.4,4,157
"155 mm",4,164,12,11.4,4,160
"158 mm",4,167,13,11.6,4,163
"160 mm",4,169,13,11.6,4,165
"165 mm",4,174.5,13,11.8,4,170
"168 mm",4,177.5,13.5,12.2,4,173
"170 mm",4,179.5,13.5,12.2,4,175
"175 mm",4,184.5,13.5,12.7,4,180
"178 mm",4,187.5,14.2,13.2,4,183
"180 mm",4,189.5,14.2,13.2,4,185
"185 mm",4,194.5,14.2,13.7,4,190
"190 mm",4,199.5,14.2,13.8,4,195
"195 mm",4,204.5,14.2,13.8,4,200
"200 mm",4,209.5,14.2,14,4,205
"205 mm",5,217,14.2,14,4,211
"210 mm",5,222,14.2,14,4,216
"215 mm",5,227,14.2,14,4,221
"220 mm",5,232,14.2,14,4,226
"225 mm",5,237,14.2,14,4,231
"230 mm",5,242,14.2,14,4,236
"235 mm",5,247,14.2,14,4,241
"240 mm",5,252,14.2,14,4,246
"245 mm",5,257,14.2,14,4,251
"250 mm",5,262,14.2,14,4,256
"255 mm",5,270,16.2,16,5,262
"260 mm",5,275,16.2,16,5,268
"265 mm",5,280,16.2,16,5,273
"270 mm",5,285,16.2,16,5,278
"275 mm",5,290,16.2,16,5,283
"280 mm",5,295,16.2,16,5,288
"285 mm",5,300,16.2,16,5,295
"290 mm",5,305,16.2,16,5,301
"300 mm",5,315,16.2,16,5,308
