"DIN478def"
"Dia","P","b1","b2","c","da","dc","e","k","r","s"
"M5",0.8,16,16,2,5.7,9.5,6.5,7,0.25,5
"M6",1,18,18,2,6.8,10.5,8,8,0.25,6
"M8",1.25,22,22,2,9.2,13.5,10,10,0.4,8
"M10",1.5,26,32,3,11.2,16.5,13,13,0.4,10
"M12",1.75,30,36,3,13.7,19.5,17,15,0.6,13
"M16",2,38,44,4,17.7,25,22,20,0.6,17
"M20",2.5,45,52,5,22.4,31,28,25,0.8,22
"M24",3,54,60,6,26.4,36,32,28,0.9,24

"DIN478length"
"Nominal","min","max"
"10",9.71,10.29
"16",15.65,16.35
"20",19.58,20.42
"25",24.58,25.42
"30",29.58,30.42
"35",34.5,35.5
"40",39.5,40.5
"45",44.5,45.5
"50",49.5,50.5
"55",54.4,55.6
"60",59.4,60.6
"70",69.4,70.6
"80",79.4,80.6
"90",89.3,90.7
"100",99.3,100.7
"110",109.3,110.7
"120",119.3,120.7
"140",139.2,140.8
"160",159.2,160.8
"180",179.2,180.8

"DIN478range"
"Dia","Min_L","Max_L"
"M5","10","30"
"M6","10","40"
"M8","16","45"
"M10","20","60"
"M12","25","90"
"M16","30","140"
"M20","35","180"
"M24","35","180"
