"DIN508def"
"Dia"
"M4"
"M5"
"M6"
"M8"
"M10"
"M12"
"M14"
"M16"
"M18"
"M20"
"M22"
"M24"
"M27"
"M30"
"M36"
"M42"
"M48"

"DIN508slotwidths"
"Dia","5 mm","6 mm","8 mm","10 mm","12 mm","14 mm","16 mm","18 mm","20 mm","22 mm","24 mm","28 mm","30 mm","32 mm","36 mm","42 mm","48 mm","54 mm"
"M4",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"M5",0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"M6",0,0,8,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"M8",0,0,0,10,12,14,16,18,0,0,0,0,0,0,0,0,0,0
"M10",0,0,0,0,12,14,16,18,0,0,0,0,0,0,0,0,0,0
"M12",0,0,0,0,0,14,16,18,20,0,0,0,0,0,0,0,0,0
"M14",0,0,0,0,0,0,16,18,0,0,0,0,0,0,0,0,0,0
"M16",0,0,0,0,0,0,0,18,20,22,24,28,0,0,0,0,0,0
"M18",0,0,0,0,0,0,0,0,20,22,0,0,0,0,0,0,0,0
"M20",0,0,0,0,0,0,0,0,0,22,24,28,0,0,0,0,0,0
"M22",0,0,0,0,0,0,0,0,0,0,24,28,0,0,0,0,0,0
"M24",0,0,0,0,0,0,0,0,0,0,0,28,30,0,36,0,0,0
"M27",0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0
"M30",0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,42,0,0
"M36",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0
"M42",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0
"M48",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54

"DIN508e"
"Dia","5 mm","6 mm","8 mm","10 mm","12 mm","14 mm","16 mm","18 mm","20 mm","22 mm","24 mm","28 mm","30 mm","32 mm","36 mm","42 mm","48 mm","54 mm"
"M4",9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"M5",0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"M6",0,0,13,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"M8",0,0,0,15,18,22,25,28,0,0,0,0,0,0,0,0,0,0
"M10",0,0,0,0,18,22,25,28,0,0,0,0,0,0,0,0,0,0
"M12",0,0,0,0,0,22,25,28,32,0,0,0,0,0,0,0,0,0
"M14",0,0,0,0,0,0,25,28,0,0,0,0,0,0,0,0,0,0
"M16",0,0,0,0,0,0,0,28,32,35,40,44,0,0,0,0,0,0
"M18",0,0,0,0,0,0,0,0,32,35,0,0,0,0,0,0,0,0
"M20",0,0,0,0,0,0,0,0,0,35,40,44,0,0,0,0,0,0
"M22",0,0,0,0,0,0,0,0,0,0,40,44,0,0,0,0,0,0
"M24",0,0,0,0,0,0,0,0,0,0,0,44,48,0,54,0,0,0
"M27",0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0
"M30",0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,65,0,0
"M36",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0
"M42",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0
"M48",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85

"DIN508f"
