"DIN571def"
"Dia","ds","da","d3","k","s","P"
"4 mm",4,5,2.8,2.8,7,1.8
"5 mm",5,6,3.5,3.5,8,2.2
"6 mm",6,7.2,4.2,4,10,2.6
"8 mm",8,10.2,5.6,5.5,13,3.6
"10 mm",10,12.2,7,7,17,4.5
"12 mm",12,15.2,9,8,19,5
"16 mm",16,19.2,12,10,24,6
"20 mm",20,24.4,15,13,30,7

"DIN571length"
"Nominal","min","max"
"16",15.1,16.9
"20",18.95,21.05
"25",23.95,26.05
"30",28.95,31.05
"35",33.75,36.25
"40",38.75,41.25
"45",43.75,46.25
"50",48.75,51.25
"55",53.5,56.5
"60",58.5,61.5
"65",63.5,66.5
"70",68.5,71.5
"75",73.5,76.5
"80",78.5,81.5
"90",88.25,91.75
"100",98.25,101.75
"110",108.25,111.75
"120",118.25,121.75
"130",128,132
"140",138,142
"150",148,152
"160",158,162
"170",168,172
"180",178,182
"190",187.7,192.3
"200",197.7,202.3

"DIN571range"
"Dia","Min_L","Max_L"
"4 mm","16","40"
"5 mm","16","40"
"6 mm","20","60"
"8 mm","25","100"
"10 mm","30","100"
"12 mm","35","120"
"16 mm","50","160"
"20 mm","60","200"
