"DIN603def"
"Dia","P","b1","b2","b3","dk_max","dk_min","ds_max","ds_min","f_max","f_min","k_max","k_min","r1_approx","r2_max","r2_min","v_max","v_min"
"M5",0.8,16,22,22,13.55,12.45,5,4.52,4.1,2.9,3.3,2.7,10.7,0.5,0.75,5.48,4.52
"M6",1,18,24,24,16.55,15.45,6,5.52,4.6,3.4,3.88,3.12,12.6,0.5,0.9,6.48,5.52
"M8",1.25,22,28,41,20.65,19.35,8,7.42,5.6,4.4,4.88,4.12,16,0.5,1.2,8.58,7.42
"M10",1.5,26,32,45,24.65,23.35,10,9.42,6.6,5.4,5.38,4.62,19.2,0.5,1.5,10.58,9.42
"M12",1.75,30,36,49,30.65,29.35,12,11.3,8.75,7.25,6.95,6.05,24.1,1,1.8,12.7,11.3
"M16",2,38,44,57,38.8,37.2,16,15.3,12.9,11.1,8.95,8.05,29.3,1,2.4,16.7,15.3
"M20",2.5,46,52,65,46.8,45.2,20,19.16,15.9,14.1,11.05,9.95,33.9,1,3,20.84,19.16

"DIN603length"
"Nominal","Min","Max"
"16",15.1,16.9
"20",18.95,21.05
"25",23.95,26.05
"30",28.95,31.05
"35",33.75,36.25
"40",38.75,41.25
"45",43.75,46.25
"50",48.75,51.25
"55",53.5,56.5
"60",58.5,61.5
"65",63.5,66.5
"70",68.5,71.5
"80",78.5,81.5
"90",88.25,91.75
"100",98.25,101.75
"110",108.25,111.75
"120",118.25,121.75
"130",128,132
"140",138,142
"150",148,152
"160",156,164
"180",176,184
"200",195.4,204.6

"DIN603range"
"Dia","Min_L","Max_L"
"M5","16","80"
"M6","16","150"
"M8","20","150"
"M10","20","200"
"M12","30","200"
"M16","55","200"
"M20","70","200"
