"DIN6319Cdef"
"Dia", "d1", "d3", "d5","f1","h1", "h2", "r1","csh_diam"
"M6" ,  6.4, 12.0, 11.0, 0.3, 0.7,  2.3,  9.0, 10.95
"M8" ,  8.4, 17.0, 14.5, 0.5, 0.6,  3.2, 12.0, 14.45
"M10", 10.5, 21.0, 18.5, 0.5, 0.8,  4.0, 15.0, 18.45
"M12", 13.0, 24.0, 20.0, 0.5, 1.1,  4.6, 17.0, 19.95
"M14", 15.0, 28.0, 24.8, 0.5, 1.2,  5.0, 22.0, 24.75
"M16", 17.0, 30.0, 26.0, 0.5, 1.3,  5.3, 22.0, 25.95
"M20", 21.0, 36.0, 31.0, 0.5, 2.0,  6.3, 27.0, 30.95
"M24", 25.0, 44.0, 37.0, 0.8, 2.4,  8.2, 32.0, 36.95
"M30", 31.0, 56.0, 49.0, 0.8, 3.6, 11.2, 41.0, 48.95
"M36", 37.0, 68.0, 60.0, 1.0, 4.6, 14.0, 50.0, 59.95
"M42", 43.0, 78.0, 70.0, 1.0, 6.5, 17.0, 58.0, 69.95
"M48", 50.0, 92.0, 82.0, 1.0, 8.0, 21.0, 67.0, 81.95
