"DIN6330def"
"Dia",  "P", "d1", "d5", "damax",  "m",  "s",  "r", "csh_diam"
"M6",  1.00,  7.0, 11.0,     7.0,  9.0, 10.0,  9.0, 10.95
"M8",  1.25,  9.0, 14.5,     9.0, 12.0, 13.0, 11.0, 14.45
"M10", 1.50, 11.5, 18.5,    11.0, 15.0, 16.0, 15.0, 18.45
"M12", 1.75, 14.0, 20.0,    13.0, 18.0, 18.0, 17.0, 19.95
"M16", 2.00, 18.0, 26.0,    17.0, 24.0, 24.0, 22.0, 25.95
"M20", 2.50, 22.0, 31.0,    21.0, 30.0, 30.0, 27.0, 30.95
"M24", 3.00, 26.0, 37.0,    25.0, 36.0, 36.0, 32.0, 36.95
"M30", 3.50, 32.0, 49.0,    31.0, 45.0, 46.0, 41.0, 48.95
"M36", 4.00, 38.0, 60.0,    37.0, 54.0, 55.0, 50.0, 59.95
"M42", 4.50, 44.0, 70.0,    43.0, 63.0, 65.0, 58.0, 69.95
"M48", 5.00, 52.0, 82.0,    50.0, 72.0, 75.0, 67.0, 81.95
