"DIN653def"
"Dia","a_max","c","dk_nom","dk_max","dk_min","ds_nom_max","ds_min","e","k_nom_max","k_min","r","knurling"
"M1",0.75,,5.5,5.74,5.26,,,,1.5,1.25,0.5,0.5
"M1.2",0.75,,6,6.24,5.76,,,,1.5,1.25,0.5,0.5
"M1.4",0.9,,7,7.29,6.71,,,,2,1.75,0.5,0.5
"M1.6",1.05,,7.5,7.79,7.21,,,,2,1.75,0.5,0.5
"M2",1.2,,9,9.29,8.71,2,1.86,1.5,2,1.75,0.5,0.5
"M2.5",1.35,0.3,11,11.35,10.65,2.5,2.36,2,2.5,2.25,0.5,0.6
"M3",1.5,0.3,12,12.35,11.65,3,2.86,2,2.5,2.25,0.5,0.6
"M4",2.1,0.4,16,16.35,15.65,4,3.82,3,3.5,3.2,0.5,0.6
"M5",2.4,0.4,20,20.42,19.58,5,4.82,3,4,3.7,1,0.6
"M6",3,0.5,24,24.42,23.58,6,5.82,4,5,4.7,1,0.6
"M8",3.75,0.6,30,30.42,29.58,8,7.78,5,6,5.7,2,0.6
"M10",4.5,0.8,36,36.5,35.5,10,9.78,6,8,7.64,2,0.6

"DIN653length"
"Nominal","min","max"
"2",1.9,2.1
"3",2.9,3.1
"4",3.9,4.1
"5",4.8,5.2
"6",5.8,6.2
"8",7.8,8.2
"6",5.76,6.24
"8",7.71,8.29
"10",9.7,10.3
"12",11.7,12.3
"(14)",13.7,14.3
"16",15.7,16.3
"(18)",17.7,18.3
"20",19.6,20.4
"(22)",21.6,22.4
"25",24.6,25.6
"(28)",27.6,28.4
"30",29.6,30.4
"(32)",31.5,32.5
"35",24.5,35.5
"(38)",37.5,38.5
"40",39.5,40.5

"DIN653range"
"Dia","Min_L","Max_L"
"M1","2","6"
"M1.2","2","8"
"M1.4","3","10"
"M1.6","3","12"
"M2","4","16"
"M2.5","5","18"
"M3","6","20"
"M4","8","25"
"M5","10","30"
"M6","12","30"
"M8","16","35"
"M10","20","40"
