"DIN6799def"
"range","groove_dia","shaft_dia_min","shaft_dia_max","d3_max","S","a"
"2-2.5 mm",1.5,2,2.5,4.25,0.4,1.28
"2.5-3 mm",1.9,2.5,3,4.8,0.5,1.61
"3-4 mm",2.3,3,4,6.3,0.6,1.94
"4-5 mm",3.2,4,5,7.3,0.6,2.7
"5-7 mm",4,5,7,9.3,0.7,3.34
"6-8 mm",5,6,8,11.3,0.7,4.1
"7-9 mm",6,7,9,12.3,0.7,5.26
"8-11 mm",7,8,11,14.3,0.9,5.84
"9-12 mm",8,9,12,16.3,1,6.52
"10-14 mm",9,10,14,18.8,1.1,7.63
"11-15 mm",10,11,15,20.4,1.2,8.32
"13-18 mm",12,13,18,23.4,1.3,10.45
"16-24 mm",15,16,24,29.4,1.5,12.61
"20-31 mm",19,20,31,37.6,1.75,15.92
"25-38 mm",24,25,38,44.6,2,21.88
"32-42 mm",30,32,42,52.6,2.5,25.8
