"DIN7967def"
"Dia","od","id","m","s","t"
"M4",4,3.5,2.5,7,0.3
"M5",5,4.5,2.5,8,0.4
"M6",6,5.3,3,10,0.4
"M8",8,6.9,3.5,13,0.5
"M10",10,8.6,4,17,0.5
"M12",12,10.4,4.5,19,0.6
"M14",14,12,5,22,0.6
"M16",16,14.1,5,24,0.7
"M18",18,15.5,5.5,27,0.7
"M20",20,17.6,6,30,0.8
"M22",22,19.6,6,32,0.8
"M24",24,21,7,36,0.9
"M27",27,24.2,7,41,1
"M30",30,26.6,8,46,1.1
"M33",33,29.8,8,50,1.2
"M36",36,32.2,9,55,1.3
"M39",39,35.2,9,60,1.3
"M42",42,37.6,11,65,1.4
"M45",45,40.9,12,70,1.5
"M48",48,43.9,14,75,1.6
"M52",52,48.2,16,80,1.7
