"DIN7984def"
"Dia","P","b","dk_max","da","ds_min","e","k","r","s_mean","t","v","dw"
"M3",0.5,12,5.5,3.6,2.86,2.3,2.0,0.1,2.0,1.5,0.3,4.84
"M4",0.7,14,7.0,4.7,3.82,2.87,2.8,0.2,2.5,2.3,0.4,6.2
"M5",0.8,16,8.5,5.7,4.82,3.44,3.5,0.2,3.0,2.7,0.5,7.7
"M6",1.0,18,10.0,6.8,5.82,4.58,4.0,0.25,4.0,3.0,0.6,9.2
"M8",1.25,22,13.0,9.2,7.7,5.72,5.0,0.4,5.0,3.8,0.8,12.03
"M10",1.5,26,16.0,11.2,9.78,8.01,6.0,0.4,7.0,4.5,1.0,15.03
"M12",1.75,30,18.0,13.7,11.73,9.15,7.0,0.6,8.0,5.0,1.2,17.03
"(M14)",2.0,34,21.0,15.7,13.73,11.43,8.0,0.6,10.0,5.3,1.4,19.83
"M16",2.0,38,24.0,17.7,15.73,13.72,9.0,0.6,12.0,5.5,1.6,22.83
"(M18)",2.5,42,27.0,20.2,17.73,13.72,10.0,0.6,12.0,6.5,1.8,25.83
"M20",2.5,46,30.0,22.4,19.67,16.0,11.0,0.8,14.0,7.5,2.0,28.83
"(M22)",2.5,50,33.0,24.4,21.67,16.0,12.0,0.8,14.0,8.0,2.2,31.61
"M24",3.0,54,36.0,26.4,23.67,19.44,13.0,0.8,17.0,8.0,2.4,34.61

"DIN7984length"
"Nominal","Min","Max"
"5",4.76,5.24
"6",5.76,6.24
"8",7.71,8.29
"10",9.71,10.29
"12",11.65,12.35
"16",15.65,16.35
"20",19.58,20.42
"25",24.58,25.42
"30",29.58,30.42
"35",34.5,35.5
"40",39.5,40.5
"45",44.5,45.5
"50",49.5,50.5
"55",54.4,55.6
"60",59.4,60.6
"65",64.4,65.6
"70",69.4,70.6
"80",79.4,80.6
"90",89.3,90.7
"100",99.3,100.7

"DIN7984range"
"Dia","Min_L","Max_L"
"M3","5","20"
"M4","6","25"
"M5","8","30"
"M6","10","40"
"M8","12","60"
"M10","16","70"
"M12","20","80"
"(M14)","30","80"
"M16","30","80"
"(M18)","40","100"
"M20","40","100"
"(M22)","50","100"
"M24","50","100"
