"DIN7996def"
"Dia","dk","k","da","r","d3","P", "PH","m","e"
"2 mm",4,1.4,2.8,1.6,1.4,0.9,"0",2.1,0.75
"2.5 mm",5,1.7,3.3,2.0,1.7,1.1,"1",2.3,0.85
"3 mm",6,2.1,3.8,2.4,2.1,1.35,"1",2.7,1.3
"3.5 mm",7,2.35,4.3,2.8,2.4,1.6,"2",3.7,1.22
"4 mm",8,2.8,5.0,3.2,2.8,1.8,"2",4.1,1.62
"4.5 mm",9,3.1,5.5,3.6,3.1,2.0,"2",4.4,1.88
"5 mm",10,3.5,6.0,4.0,3.5,2.2,"2",4.8,2.28
"5.5 mm",11,3.8,6.6,4.4,3.5,2.2,"2",4.8,2.28
"6 mm",12,4.2,7.2,4.8,4.2,2.6,"3",6.6,2.82
"7 mm",14,4.9,8.2,5.6,4.9,3.2,"3",7.3,3.52
"8 mm",16,5.6,10.2,6.4,5.6,3.6,"4",8.8,3.93

"DIN7996length"
"Nominal","min","max"
"10",9.25,10.75
"12",11.1,12.9
"14",13.1,14.9
"16",15.1,16.9
"18",17.1,18.9
"20",19.0,21.0
"25",24.0,26.0
"30",29.0,31.0
"35",33.75,36.25
"40",38.75,41.25
"45",43.75,46.25
"50",48.75,51.25
"60",58.5,61.5
"70",68.5,71.5
"80",78.5,81.5

"DIN7996range"
"Dia","Min_L","Max_L"
"2 mm","11","13"
"2.5 mm","10","30"
"3 mm","10","40"
"3.5 mm","10","45"
"4 mm","12","50"
"4.5 mm","16","60"
"5 mm","16","80"
"5.5 mm","11","13"
"6 mm","40","80"
"7 mm","11","13"
"8 mm","11","13"
