"DIN933def"
"Dia","P","c","dw","e","k","r","s"
"(M1.6)",0.35,0.2,2.9,3.4,1.1,0.1,3.2
"(M2)",0.4,0.2,3.7,4.4,1.4,0.1,4.0
"(M2.5)",0.45,0.2,4.6,5.5,1.7,0.1,5.0
"M3",0.5,0.2,5.2,6.01,2.0,0.1,5.5
"(M3.5)",0.6,0.2,5.2,6.6,2.4,0.1,5.5
"M4",0.7,0.2,6.6,7.66,2.8,0.2,7.0
"M5",0.8,0.2,7.5,8.79,3.5,0.2,8.0
"M6",1.0,0.2,9.5,11.05,4.0,0.25,10.0
"M8",1.25,0.3,11.7,14.38,5.3,0.25,13.0
"M10",1.5,0.3,14.7,18.9,6.4,0.4,17.0
"M12",1.75,0.3,16.7,20.1,7.5,0.6,19.0
"M14",2.0,0.3,20.5,24.49,8.8,0.6,22.0
"M16",2.0,0.4,22.4,26.75,10.0,0.6,24.0
"M18",2.5,0.4,25.4,30.14,11.5,0.6,27.0
"M20",2.5,0.4,28.2,33.53,12.5,0.8,30.0
"M22",2.5,0.4,31.8,37.72,14.0,0.8,32.0
"M24",3.0,0.4,33.7,39.98,15.0,0.8,36.0
"M27",3.0,0.4,38.0,45.2,17.0,1.0,41.0
"M30",3.5,0.4,42.8,50.85,18.7,1.0,46.0
"M33",3.5,0.4,46.6,55.37,21.0,1.0,50.0
"M36",4.0,0.4,51.2,60.79,22.5,1.0,55.0
"(M39)",4.0,0.5,55.9,66.5,25.0,1.0,60.0
"M42",4.5,0.7,60.0,71.3,26.0,1.2,65.0
"(M45)",4.5,0.7,64.7,77.0,28.0,1.2,70.0
"M48",5.0,0.7,69.5,82.6,30.0,1.6,75.0
"(M52)",5.0,0.7,74.5,88.3,33.0,1.6,80.0
"M56",5.5,0.7,78.7,93.6,35.0,2.0,85.0
"(M60)",5.5,0.7,82.7,99.2,38.0,2.0,90.0
"M64",6.0,0.7,88.2,104.9,40.0,2.0,95.0

"DIN933length"
"Nominal","Min","Max"
"2",1.8,2.2
"3",2.8,3.2
"4",3.76,4.24
"5",4.76,5.24
"6",5.76,6.24
"8",7.71,8.29
"10",9.71,10.29
"12",11.65,12.35
"14",13.65,14.35
"16",15.65,16.35
"20",19.58,20.42
"25",24.58,25.42
"30",29.58,30.42
"35",34.5,35.5
"40",39.5,40.5
"45",44.5,45.5
"50",49.5,50.5
"55",54.4,55.6
"60",59.4,60.6
"65",64.4,65.6
"70",69.4,70.6
"80",79.4,80.6
"100",99.3,100.7
"110",109.3,110.7
"120",119.3,120.7
"130",129.2,130.8
"140",139.2,130.8
"150",149.2,150.8
"160",159.2,160.8
"180",179.2,180.8
"200",199.1,200.9

"DIN933range"
"Dia","Min_L","Max_L"
"(M1.6)","2","16"
"(M2)","4","20"
"(M2.5)","5","25"
"M3","5","30"
"(M3.5)","8","35"
"M4","6","40"
"M5","8","50"
"M6","12","60"
"M8","16","80"
"M10","20","100"
"M12","25","120"
"M14","25","140"
"M16","30","150"
"M18","35","200"
"M20","40","160"
"M22","45","200"
"M24","50","180"
"M27","50","100"
"M30","60","200"
"M33","65","200"
"M36","70","200"
"(M39)","80","200"
"M42","70","200"
"(M45)","90","200"
"M48","100","200"
"(M52)","100","200"
"M56","110","200"
"(M60)","120","200"
"M64","120","200"
