"DIN935def"
"Dia","P","m","w","s","n","d_e_max","ns"
"M4",0.7,5,3.05,7,1.325,"None",6
"M5",0.8,6,3.85,8,1.525,"None",6
"M6",1,7.5,4.85,10,2.125,"None",6
"(M7)",1.25,8,5.35,11,2.125,"None",6
"M8",1.5,9.5,6.32,13,2.625,"None",6
"M10",1.75,12,7.82,17,2.925,"None",6
"M12",2,15,9.82,19,3.65,17,6
"(M14)",2,16,10.785,22,3.65,19,6
"M16",2.5,19,12.785,24,4.65,22,6
"(M18)",2.5,21,14.785,27,4.65,25,6
"M20",2.5,22,15.785,30,4.65,28,6
"(M22)",3,26,17.785,34,5.65,32,6
"M24",3,27,18.74,36,5.65,34,6
"(M27)",3.5,30,21.74,41,5.65,38,6
"M30",3.5,33,23.74,46,7.18,42,6
"(M33)",4,35,25.74,50,7.18,46,6
"M36",4,38,28.74,55,7.18,50,6
"(M39)",4,40,30.64,60,7.18,55,6
"M42",4.5,46,33.69,65,9.18,58,8
"(M45)",4.5,48,35.69,70,9.18,62,8
"M48",5,50,37.69,75,9.18,65,8
"(M52)",5,54,41.69,80,9.18,70,8
"M56",5.5,57,44.69,85,9.18,75,8
"(M60)",5.5,63,47.69,90,11.215,80,8
"M64",6,66,50.63,95,11.215,85,8
"(M68)",6,69,53.63,100,11.215,90,8
"M72",6,73,57.63,105,11.215,95,10
"(M76)",6,76,60.63,110,11.215,100,10
"M80",6,79,63.63,115,11.215,105,10
"(M85)",6,88,67.63,120,14.215,110,10
"M90",6,92,71.63,130,14.215,120,10
"M100",6,100,79.63,145,14.215,130,10
