"DIN961def"
"Dia","P","c","dw","e","k","r","s"
"M8x1",1.0,0.3,11.6,14.38,5.3,0.4,13.0
"M10x1",1.0,0.3,15.6,18.9,6.4,0.4,17.0
"M10x1.25",1.0,0.3,15.6,18.9,6.4,0.4,17.0
"M12x1.25",1.25,0.3,17.4,21.1,7.5,0.6,19.0
"M12x1.5",1.5,0.3,17.4,21.1,7.5,0.6,19.0
"(M14x1.5)",1.5,0.3,20.5,24.49,8.8,0.6,22.0
"M16x1.5",1.5,0.4,22.5,26.75,10.0,0.6,24.0
"(M18x1.5)",1.5,0.4,25.3,30.14,11.5,0.6,27.0
"(M18x2)",2.0,0.4,25.3,30.14,11.5,0.6,27.0
"M20x1.5",1.5,0.4,28.2,33.53,12.5,0.8,30.0
"M20x2",1.5,0.4,28.2,33.53,12.5,0.8,30.0
"(M22x1.5)",1.5,0.4,30.0,35.72,14.0,0.8,32.0
"(M22x2)",2.0,0.4,30.0,35.72,14.0,0.8,32.0
"M24x1.5",1.5,0.4,33.6,39.98,15.0,0.8,36.0
"M24x2",2.0,0.4,33.6,39.98,15.0,0.8,36.0
"(M27x2)",2.0,0.4,38.0,45.2,17.0,1.0,41.0
"M30x2",2.0,0.4,42.7,50.85,18.7,1.0,46.0
"(M33x2)",2.0,0.4,46.6,55.37,21.0,1.0,50.0
"M36x3",3.0,0.4,51.1,60.79,22.5,1.0,55.0
"(M39x3)",3.0,0.5,55.9,66.44,25.0,1.0,60.0
"M42x3",3.0,0.5,59.9,71.3,26.0,1.2,65.0
"(M45x3)",3.0,0.5,64.7,76.95,28.0,1.2,70.0
"M48x3",3.0,0.5,69.4,82.6,30.0,1.6,75.0
"(M52x3)",3.0,0.5,74.2,88.25,33.0,1.6,80.0

"DIN961length"
"Nominal","Min","Max"
"8",7.71,8.29
"10",9.71,10.29
"12",11.65,12.35
"14",13.65,14.35
"16",15.65,16.35
"20",19.58,20.42
"22",21.58,22.42
"25",24.58,25.42
"28",27.58,28.42
"30",29.58,30.42
"35",34.5,35.5
"40",39.5,40.5
"45",44.5,45.5
"50",49.5,50.5
"55",54.4,55.6
"60",59.4,60.6
"65",64.4,65.6
"70",69.4,70.6
"75",74.4,75.6
"80",79.4,80.6
"85",84.3,85.7
"90",89.3,90.7
"95",94.3,95.7
"100",99.3,100.7
"110",109.3,110.7
"120",119.3,120.7
"130",129.2,130.8
"140",139.2,130.8
"150",149.2,150.8
"160",159.2,160.8
"170",169.2,170.8
"180",179.2,180.8
"190",189.2,190.8
"200",199.1,200.9

"DIN961range"
"Dia","Min_L","Max_L"
"M8x1","8","120"
"M10x1","8","150"
"M10x1.25","8","150"
"M12x1.25","10","180"
"M12x1.5","10","180"
"(M14x1.5)","10","200"
"M16x1.5","12","200"
"(M18x1.5)","18","200"
"(M18x2)","18","200"
"M20x1.5","18","200"
"M20x2","18","200"
"(M22x1.5)","18","200"
"(M22x2)","18","200"
"M24x1.5","20","200"
"M24x2","20","200"
"(M27x2)","20","200"
"M30x2","30","200"
"(M33x2)","35","200"
"M36x3","35","200"
"(M39x3)","35","200"
"M42x3","40","200"
"(M45x3)","40","200"
"M48x3","45","200"
"(M52x3)","50","200"
