"DIN961def"
"Dia","P","c","dw","e","k","r","s"
"M8x1",1.0,0.3,11.6,14.38,5.3,0.4,13.0
"M10x1",1.0,0.3,15.6,18.9,6.4,0.4,17.0
"M10x1.25",1.0,0.3,15.6,18.9,6.4,0.4,17.0
"M12x1.25",1.25,0.3,17.4,21.1,7.5,0.6,19.0
"M12x1.5",1.5,0.3,17.4,21.1,7.5,0.6,19.0
"(M14x1.5)",1.5,0.3,20.5,24.49,8.8,0.6,22.0
"M16x1.5",1.5,0.4,22.5,26.75,10.0,0.6,24.0
"(M18x1.5)",1.5,0.4,25.3,30.14,11.5,0.6,27.0
"(M18x2)",2.0,0.4,25.3,30.14,11.5,0.6,27.0
"M20x1.5",1.5,0.4,28.2,33.53,12.5,0.8,30.0
"M20x2",1.5,0.4,28.2,33.53,12.5,0.8,30.0
"(M22x1.5)",1.5,0.4,30.0,35.72,14.0,0.8,32.0
"(M22x2)",2.0,0.4,30.0,35.72,14.0,0.8,32.0
"M24x1.5",1.5,0.4,33.6,39.98,15.0,0.8,36.0
"M24x2",2.0,0.4,33.6,39.98,15.0,0.8,36.0
"(M27x2)",2.0,0.4,38.0,45.2,17.0,1.0,41.0
"M30x2",2.0,0.4,42.7,50.85,18.7,1.0,46.0
"(M33x2)",2.0,0.4,46.6,55.37,21.0,1.0,50.0
"M36x3",3.0,0.4,51.1,60.79,22.5,1.0,55.0
"(M39x3)",3.0,0.5,55.9,66.44,25.0,1.0,60.0
"M42x3",3.0,0.5,59.9,71.3,26.0,1.2,65.0
"(M45x3)",3.0,0.5,64.7,76.95,28.0,1.2,70.0
"M48x3",3.0,0.5,69.4,82.6,30.0,1.6,75.0
"(M52x3)",3.0,0.5,74.2,88.25,33.0,1.6,80.0
