"DIN961length"
"Nominal","Min","Max"
"8",7.71,8.29
"10",9.71,10.29
"12",11.65,12.35
"14",13.65,14.35
"16",15.65,16.35
"20",19.58,20.42
"22",21.58,22.42
"25",24.58,25.42
"28",27.58,28.42
"30",29.58,30.42
"35",34.5,35.5
"40",39.5,40.5
"45",44.5,45.5
"50",49.5,50.5
"55",54.4,55.6
"60",59.4,60.6
"65",64.4,65.6
"70",69.4,70.6
"75",74.4,75.6
"80",79.4,80.6
"85",84.3,85.7
"90",89.3,90.7
"95",94.3,95.7
"100",99.3,100.7
"110",109.3,110.7
"120",119.3,120.7
"130",129.2,130.8
"140",139.2,130.8
"150",149.2,150.8
"160",159.2,160.8
"170",169.2,170.8
"180",179.2,180.8
"190",189.2,190.8
"200",199.1,200.9
