"DIN961range"
"Dia","Min_L","Max_L"
"M8x1","8","120"
"M10x1","8","150"
"M10x1.25","8","150"
"M12x1.25","10","180"
"M12x1.5","10","180"
"(M14x1.5)","10","200"
"M16x1.5","12","200"
"(M18x1.5)","18","200"
"(M18x2)","18","200"
"M20x1.5","18","200"
"M20x2","18","200"
"(M22x1.5)","18","200"
"(M22x2)","18","200"
"M24x1.5","20","200"
"M24x2","20","200"
"(M27x2)","20","200"
"M30x2","30","200"
"(M33x2)","35","200"
"M36x3","35","200"
"(M39x3)","35","200"
"M42x3","40","200"
"(M45x3)","40","200"
"M48x3","45","200"
"(M52x3)","50","200"
