"DIN967def"
"Dia","P","b","c","da","dk","r","k","rf","x","cT","mH","mZ"
"M3",0.5,25.0,0.7,3.6,7.5,0.1,2.35,3.8,1.25,"1",3.0,2.9
"(M3.5)",0.6,38.0,0.8,4.1,9.0,0.1,2.6,4.6,1.5,"2",4.2,3.9
"M4",0.7,38.0,1.0,4.7,10.0,0.2,3.05,5.8,1.75,"2",4.6,4.3
"M5",0.8,38.0,1.2,5.7,11.5,0.2,3.55,6.6,2.0,"2",5.0,4.7
"M6",1.0,38.0,1.6,6.8,14.5,0.25,4.55,8.2,2.5,"3",7.1,6.7
"M8",1.25,38.0,2.0,9.2,19.0,0.4,5.9,11.0,3.2,"4",9.0,8.8

"DIN967length"
"Nominal","Min","Max"
"4",3.76,4.24
"5",4.76,5.24
"6",5.76,6.24
"8",7.71,8.29
"10",9.71,10.29
"12",11.65,12.35
"14",13.65,14.35
"16",15.65,16.35
"20",19.58,20.42
"25",24.58,25.42
"30",29.58,30.42
"35",34.5,35.5
"40",39.5,40.5
"45",44.5,45.5
"50",49.5,50.5
"55",54.05,55.95
"60",59.05,60.95

"DIN967range"
"Dia","Min_L","Max_L"
"M3","4","30"
"(M3.5)","5","35"
"M4","5","40"
"M5","6","45"
"M6","8","60"
"M8","10","60"
