"EN1662def"
"Dia","P","b0","b1","b2","b3","c","dc","dw","e","k","kw","lf","r1","s"
"M5",0.8,25.0,16.0,0.0,0.0,1.0,11.4,9.4,7.59,5.6,2.3,1.4,0.2,7.0
"M6",1.0,30.0,18.0,0.0,0.0,1.1,13.6,11.6,8.71,6.9,2.9,1.6,0.25,8.0
"M8",1.25,35.0,22.0,28.0,0.0,1.2,17.0,14.9,10.95,8.5,3.8,2.1,0.4,10.0
"M10",1.5,40.0,26.0,32.0,0.0,1.5,20.8,18.7,14.26,9.7,4.3,2.1,0.4,13.0
"M12",1.75,45.0,30.0,36.0,0.0,1.8,24.7,22.5,17.62,12.1,5.4,2.1,0.6,16.0
"(M14)",2.0,50.0,34.0,40.0,0.0,2.1,28.6,26.4,19.86,12.9,5.6,2.1,0.6,18.0
"M16",2.0,55.0,38.0,44.0,57.0,2.4,32.8,30.6,23.15,15.2,6.8,3.2,0.6,21.0

"EN1662length"
"Nominal","Min","Max"
"10",9.71,10.29
"12",11.65,12.35
"16",15.65,16.35
"20",19.58,20.42
"25",24.58,25.42
"30",29.58,30.42
"35",34.5,35.5
"40",39.5,40.5
"45",44.5,45.5
"50",49.5,50.5
"55",54.4,55.6
"60",59.4,60.6
"65",64.4,65.6
"70",69.4,70.6
"80",79.4,80.6
"90",89.3,90.7
"100",99.3,100.7
"110",109.3,110.7
"120",119.3,120.7
"130",129.2,130.8
"140",139.2,130.8
"150",149.2,150.8
"160",159.2,160.8

"EN1662range"
"Dia","Min_L","Max_L"
"M5","10","50"
"M6","12","60"
"M8","16","80"
"M10","20","100"
"M12","25","120"
"(M14)","30","140"
"M16","35","160"
