"GOST1144-1def"
"Dia","d2","P","D","K","b","h"
"1.6 mm",1.1,0.8,3.2,1.1,0.4,0.6
"2 mm",1.4,1,4,1.4,0.5,0.9
"2.5 mm",1.7,1.25,5,1.7,0.6,1.1
"3 mm",2.1,1.25,6,2.1,0.8,1.2
"3.5 mm",2.4,1.5,7,2.4,0.8,1.5
"4 mm",2.8,1.75,8,2.8,1,1.8
"5 mm",3.5,2,10,3.5,1.2,2.3
"6 mm",4.2,2.5,12,4.2,1.6,2.5
"8 mm",5.6,3.5,16,5.6,2,3.5
"10 mm",7,4.5,20,7,2.5,4

"GOST1144-2def"
"Dia","d2","P","D","K","b","h"
"1.6 mm",1.1,0.8,3.2,1.1,0.4,0.6
"2 mm",1.4,1,4,1.4,0.5,0.9
"2.5 mm",1.7,1.25,5,1.7,0.6,1.1
"3 mm",2.1,1.25,6,2.1,0.8,1.2
"3.5 mm",2.4,1.5,7,2.4,0.8,1.5
"4 mm",2.8,1.75,8,2.8,1,1.8
"5 mm",3.5,2,10,3.5,1.2,2.3
"6 mm",4.2,2.5,12,4.2,1.6,2.5

"GOST1144-3def"
"Dia","d2","P","D","K","PH","m","h"
"2 mm",1.4,1,4,1.4,"0",2,1.2
"2.5 mm",1.7,1.25,5,1.7,"1",2.6,1.3
"3 mm",2.1,1.25,6,2.1,"1",3,1.7
"3.5 mm",2.4,1.5,7,2.4,"2",4.1,1.8
"4 mm",2.8,1.75,8,2.8,"2",4.6,2.2
"5 mm",3.5,2,10,3.5,"2",5.2,2.8
"6 mm",4.2,2.5,12,4.2,"3",7,3.2
"8 mm",5.6,3.5,16,5.6,"3",8.2,4.6
"10 mm",7,4.5,20,7,"4",10.6,5.6

"GOST1144-4def"
"Dia","d2","P","D","K","PH","m","h"
"2 mm",1.4,1,4,1.4,"0",2,1.2
"2.5 mm",1.7,1.25,5,1.7,"1",2.6,1.3
"3 mm",2.1,1.25,6,2.1,"1",3,1.7
"3.5 mm",2.4,1.5,7,2.4,"2",4.1,1.8
"4 mm",2.8,1.75,8,2.8,"2",4.6,2.2
"5 mm",3.5,2,10,3.5,"2",5.2,2.8
"6 mm",4.2,2.5,12,4.2,"3",7,3.2

"GOST1144-1length"
"GOST1144-3length"
"Nominal","js17min","js17max"
"7",6.25,7.75
"10",9.25,10.75
"13",12.1,13.9
"16",15.1,16.9
"18",17.1,18.9
"20",18.95,21.05
"22",20.95,23.05
"25",23.96,26.05
"30",28.95,31.05
"35",33.75,36.25
"40",38.75,41.25
"45",43.75,46.25
"50",48.75,51.25
"60",58.5,61.5
"70",68.5,71.5
"80",78.5,81.5
"90",88.25,91.75
"100",98.25,101.75

"GOST1144-2length"
"GOST1144-4length"
"Nominal","js17min","js17max"
"7",6.25,7.75
"10",9.25,10.75
"13",12.1,13.9
"16",15.1,16.9
"18",17.1,18.9
"20",18.95,21.05
"22",20.95,23.05

"GOST1144-1range"
"GOST1144-3range"
"Dia","Min_L","Max_L"
"1.6 mm","7","13"
"2 mm","7","16"
"2.5 mm","7","25"
"3 mm","10","30"
"3.5 mm","10","40"
"4 mm","13","60"
"5 mm","13","70"
"6 mm","18","100"
"8 mm","50","100"
"10 mm","80","100"

"GOST1144-2range"
"GOST1144-4range"
"Dia","Min_L","Max_L"
"1.6 mm","7","13"
"2 mm","7","16"
"2.5 mm","7","25"
"3 mm","10","30"
"3.5 mm","10","40"
"4 mm","13","60"
"5 mm","13","70"
"6 mm","18","100"
