"GOST1144-1def"
"Dia","d2","P","D","K","b","h"
"1.6 mm",1.1,0.8,3.2,1.1,0.4,0.6
"2 mm",1.4,1,4,1.4,0.5,0.9
"2.5 mm",1.7,1.25,5,1.7,0.6,1.1
"3 mm",2.1,1.25,6,2.1,0.8,1.2
"3.5 mm",2.4,1.5,7,2.4,0.8,1.5
"4 mm",2.8,1.75,8,2.8,1,1.8
"5 mm",3.5,2,10,3.5,1.2,2.3
"6 mm",4.2,2.5,12,4.2,1.6,2.5
"8 mm",5.6,3.5,16,5.6,2,3.5
"10 mm",7,4.5,20,7,2.5,4
"GOST1144-2def"
"Dia","d2","P","D","K","b","h"
"1.6 mm",1.1,0.8,3.2,1.1,0.4,0.6
"2 mm",1.4,1,4,1.4,0.5,0.9
"2.5 mm",1.7,1.25,5,1.7,0.6,1.1
"3 mm",2.1,1.25,6,2.1,0.8,1.2
"3.5 mm",2.4,1.5,7,2.4,0.8,1.5
"4 mm",2.8,1.75,8,2.8,1,1.8
"5 mm",3.5,2,10,3.5,1.2,2.3
"6 mm",4.2,2.5,12,4.2,1.6,2.5
"GOST1144-3def"
"Dia","d2","P","D","K","PH","m","h"
"2 mm",1.4,1,4,1.4,"0",2,1.2
"2.5 mm",1.7,1.25,5,1.7,"1",2.6,1.3
"3 mm",2.1,1.25,6,2.1,"1",3,1.7
"3.5 mm",2.4,1.5,7,2.4,"2",4.1,1.8
"4 mm",2.8,1.75,8,2.8,"2",4.6,2.2
"5 mm",3.5,2,10,3.5,"2",5.2,2.8
"6 mm",4.2,2.5,12,4.2,"3",7,3.2
"8 mm",5.6,3.5,16,5.6,"3",8.2,4.6
"10 mm",7,4.5,20,7,"4",10.6,5.6
"GOST1144-4def"
"Dia","d2","P","D","K","PH","m","h"
"2 mm",1.4,1,4,1.4,"0",2,1.2
"2.5 mm",1.7,1.25,5,1.7,"1",2.6,1.3
"3 mm",2.1,1.25,6,2.1,"1",3,1.7
"3.5 mm",2.4,1.5,7,2.4,"2",4.1,1.8
"4 mm",2.8,1.75,8,2.8,"2",4.6,2.2
"5 mm",3.5,2,10,3.5,"2",5.2,2.8
"6 mm",4.2,2.5,12,4.2,"3",7,3.2
