"GOST1144-1length"
"GOST1144-3length"
"Nominal","js17min","js17max"
"7",6.25,7.75
"10",9.25,10.75
"13",12.1,13.9
"16",15.1,16.9
"18",17.1,18.9
"20",18.95,21.05
"22",20.95,23.05
"25",23.96,26.05
"30",28.95,31.05
"35",33.75,36.25
"40",38.75,41.25
"45",43.75,46.25
"50",48.75,51.25
"60",58.5,61.5
"70",68.5,71.5
"80",78.5,81.5
"90",88.25,91.75
"100",98.25,101.75
"GOST1144-2length"
"GOST1144-4length"
"Nominal","js17min","js17max"
"7",6.25,7.75
"10",9.25,10.75
"13",12.1,13.9
"16",15.1,16.9
"18",17.1,18.9
"20",18.95,21.05
"22",20.95,23.05
