"ISO10512def"
"Dia","P","d_a_max","d_a_min","d_w_min","e_min","h_max","h_min","m_min","m_w_min","s_max","s_min"
"M8x1",1,8.75,8,11.63,14.38,9.5,8.92,6.44,5.15,13,12.73
"M10x1",1,10.8,10,14.63,17.77,11.9,11.2,8.04,6.43,16,15.73
"M10x1.25",1.25,10.8,10,14.63,17.77,11.9,11.2,8.04,6.43,16,15.73
"M12x1.25",1.25,13,12,16.63,20.03,14.9,14.2,10.37,8.3,18,17.73
"M12x1.5",1.5,13,12,16.63,20.03,14.9,14.2,10.37,8.3,18,17.73
"(M14x1.5)",1.5,15.1,14,19.64,23.36,17,15.9,12.1,9.68,21,20.67
"M16x1.5",1.5,17.3,16,22.49,26.75,19.1,17.8,14.1,11.28,24,23.67
"M20x1.5",1.5,21.6,20,27.7,32.95,22.8,20.7,16.9,13.52,30,29.16
"M24x2",2,25.9,24,33.25,39.55,27.1,25,20.2,16.16,36,35
"M30x2",2,32.4,30,42.75,50.85,32.6,30.1,24.3,19.44,46,45
"M36x2",2,38.9,36,51.11,60.79,38.9,36.4,29.4,23.52,55,53.8
