"ISO10513def"
"Dia","P","d_a_max","d_a_min","d_w_min","e_min","h_max","h_min","m_w_min","s_max","s_min"
"M8x1",1,8.75,8,11.63,14.38,8,7.14,5.15,13,12.73
"M10x1",1,10.8,10,14.63,17.77,10,8.94,6.43,16,15.73
"M10x1.25",1.25,10.8,10,14.63,17.77,10,8.94,6.43,16,15.73
"M12x1.25",1.25,13,12,16.63,20.03,13.3,11.57,8.3,18,17.73
"M12x1.5",1.5,13,12,16.63,20.03,13.3,11.57,8.3,18,17.73
"(M14x1.5)",1.5,15.1,14,19.64,23.36,14.1,13.4,9.68,21,20.67
"M16x1.5",1.5,17.3,16,22.49,26.75,16.4,15.7,11.28,24,23.67
"M20x1.5",1.5,21.6,20,27.7,32.95,20.3,19,13.52,30,29.16
"M24x2",2,25.9,24,33.25,39.55,23.9,22.6,16.16,36,35
"M30x2",2,32.4,30,42.75,50.85,30,27.3,19.44,46,45
"M36x2",2,38.9,36,51.11,60.79,36,33.1,23.52,55,53.8
