"ISO13337def"
"Dia","d_1","d_2","a","s"
"2 mm",2.35,1.9,0.3,0.2
"2.5 mm",2.85,2.3,0.35,0.25
"3 mm",3.4,2.7,0.35,0.3
"3.5 mm",3.9,3.1,0.4,0.35
"4 mm",4.5,3.4,0.6,0.5
"4.5 mm",5,3.9,0.6,0.5
"5 mm",5.5,4.4,0.6,0.5
"6 mm",6.55,4.9,0.8,0.75
"8 mm",8.65,7,1.65,0.75
"10 mm",10.65,8.5,2.2,1
"12 mm",12.65,10.5,2.2,1
"13 mm",13.65,11,2.2,1.2
"14 mm",14.65,11.5,2.2,1.5
"16 mm",16.65,13.5,2.2,1.5
"18 mm",18.7,15,2.2,1.7
"20 mm",20.7,16.5,2.2,2
"21 mm",21.7,17.5,2.2,2
"25 mm",25.7,21.5,3.2,2
"28 mm",28.7,23.5,3.2,2.5
"30 mm",30.7,25.5,3.2,2.5
"35 mm",35.7,28.5,3.3,3.5
"40 mm",40.7,32.5,4.3,4
"45 mm",45.7,37.5,4.3,4
"50 mm",50.7,40.5,4.3,5

"ISO13337length"
"nom","min","max"
"4",3.75,4.25
"5",4.75,5.25
"6",5.75,6.25
"8",7.75,8.25
"10",9.75,10.25
"12",11.5,12.5
"14",13.5,14.5
"16",15.5,16.5
"18",17.5,18.5
"20",19.5,20.5
"22",21.5,22.5
"24",23.5,24.5
"26",25.5,26.5
"28",27.5,28.5
"30",29.5,30.5
"32",31.5,32.5
"35",34.5,35.5
"40",39.5,40.5
"45",44.5,45.5
"50",49.5,50.5
"55",54.25,55.75
"60",59.25,60.75
"65",64.25,65.75
"70",69.25,70.75
"75",74.25,75.75
"80",79.25,80.75
"85",84.25,85.75
"90",89.25,90.75
"95",94.25,95.75
"100",99.25,100.75
"120",119.25,120.75
"140",139.25,140.75
"160",159.25,160.75
"180",179.25,180.75
"200",199.25,200.75

"ISO13337range"
"Dia","min_L","max_L"
"2 mm","4","30"
"2.5 mm","4","30"
"3 mm","4","40"
"3.5 mm","4","40"
"4 mm","4","50"
"4.5 mm","6","50"
"5 mm","6","80"
"6 mm","10","100"
"8 mm","10","120"
"10 mm","10","160"
"12 mm","10","180"
"13 mm","10","180"
"14 mm","10","200"
"16 mm","10","200"
"18 mm","10","200"
"20 mm","10","200"
"21 mm","14","200"
"25 mm","14","200"
"28 mm","14","200"
"30 mm","14","200"
"35 mm","20","200"
"40 mm","20","200"
"45 mm","20","200"
"50 mm","20","200"
