"ISO14581def"
"Dia","P","a","b","dk_theo","csh_diam","csh_height","r","tt","A2","t_mean"
"M2",000.40,0.80,16.0,4.4,03.8,1.20,0.1,"T6",1.75,0.64
"M2.5",0.45,0.90,17.0,5.5,04.7,1.60,0.1,"T8",2.40,0.79
"M3",000.50,1.00,18.0,6.3,05.5,2.20,0.1,"T10",2.8,0.83
"M3.5",0.60,1.20,18.0,8.2,07.3,2.60,0.1,"T10",3.35,1.32
"M4",000.70,1.40,20.0,9.4,08.4,3.01,0.2,"T20",3.95,1.53
"M5",000.80,2.00,22.0,10.4,09.3,3.50,0.2,"T25",4.5,1.51
"M6",001.00,2.50,24.0,12.6,11.3,4.22,0.25,"T30",5.6,1.78
"M8",001.25,3.13,28.0,17.3,15.8,5.69,0.4,"T45",7.95,2.54
"M10",01.50,3.75,32.0,20.0,18.3,6.50,0.4,"T50",8.95,2.8

"ISO14581length"
"Nominal","Min","Max"
"6",5.71,6.29
"8",7.71,8.29
"10",9.71,10.29
"12",11.65,12.35
"14",13.65,14.35
"16",15.65,16.35
"20",19.58,20.42
"25",24.58,25.42
"30",29.58,30.42
"35",34.5,35.5
"40",39.5,40.5
"45",44.5,45.5
"50",49.5,50.5
"55",54.4,55.6
"60",59.4,60.6
"65",64.4,65.6
"70",69.4,70.6
"80",79.4,80.6
"90",89.3,90.7
"100",99.3,100.7

"ISO14581range"
"Dia","Min_L","Max_L"
"M2","6","30"
"M2.5","6","30"
"M3","8","30"
"M3.5","8","30"
"M4","8","40"
"M5","8","50"
"M6","8","60"
"M8","10","80"
"M10","12","100"
