"ISO1580def"
"Dia","P","a","b","dk_max","da","k","n_min","r","rf","t_mean","x"
"M1.6",0.35,0.7,25,3.2,2.0,1.0,0.46,0.1,0.5,0.4,0.9
"M2",0.4,0.8,25,4.0,2.6,1.3,0.56,0.1,0.6,0.5,1.0
"M2.5",0.45,0.9,25,5.0,3.1,1.5,0.66,0.1,0.8,0.6,1.1
"M3",0.5,1.0,25,5.6,3.6,1.8,0.86,0.1,0.9,0.7,1.25
"(M3.5)",0.6,1.2,38,7.0,4.1,2.1,1.06,0.1,1.0,0.8,1.5
"M4",0.7,1.4,38,8.0,4.7,2.4,1.26,0.2,1.2,1.0,1.75
"M5",0.8,1.6,38,9.5,5.7,3.0,1.26,0.2,1.5,1.2,2.0
"M6",1.0,2.0,38,12.0,6.8,3.6,1.66,0.25,1.8,1.4,2.5
"M8",1.25,2.5,38,16.0,9.2,4.8,2.06,0.4,2.4,1.9,3.2
"M10",1.5,3.0,38,20.0,11.2,6.0,2.56,0.4,3.0,2.4,3.8
