"ISO2009def"
"ISO2010def"
"ISO7046def"
"ISO7047def"
"Dia","P","a","b","dk_theo","csh_diam","csh_height","n_min","r","t_mean","x"
"M1.6",0.35,0.7,25,3.6,2.8,1.0,0.46,0.2,0.4,0.9
"M2",0.4,0.8,25,4.4,3.6,1.2,0.56,0.3,0.5,1.0
"M2.5",0.45,0.9,25,5.5,4.5,1.5,0.66,0.3,0.6,1.1
"M3",0.5,1.0,25,6.3,5.3,1.65,0.86,0.4,0.7,1.25
"(M3.5)",0.6,1.2,38,8.2,7.1,2.35,1.06,0.4,1.0,1.5
"M4",0.7,1.4,38,9.4,8.2,2.7,1.26,0.5,1.1,1.75
"M5",0.8,1.6,38,10.4,9.2,2.7,1.26,0.6,1.2,2.0
"M6",1.0,2.0,38,12.6,11.2,3.3,1.66,0.7,1.4,2.5
"M8",1.25,2.5,38,17.3,15.6,4.65,2.06,1.0,2.0,3.2
"M10",1.5,3.0,38,20.0,18.1,5.0,2.56,1.2,2.3,3.8
