"ISO21670def"
"Dia","P","b","c","d_a","d_c","e","f","g","m_min","m_max","s","r_1","r_2","m1000"
"M5",0.8,2.2,0.8,6,15.5,8.2,1.7,4,4.7,5,8,0.6,0.3,2.9
"M6",1,2.7,0.8,7,18.5,10.6,2,5,6.64,7,10,0.6,0.5,5.7
"M8",1.25,2.7,1,9.5,22.5,13.6,2.5,6,9.64,10,13,0.8,0.8,12.2
"M8x1",1,2.7,1,9.5,22.5,13.6,2.5,6,9.64,10,13,0.8,0.8,12.2
"M10",1.5,2.95,1.2,11.5,26.5,16.9,3,7,12.57,13,16,1,1,21.8
"M10x1.25",1.25,2.95,1.2,11.5,26.5,16.9,3,7,12.57,13,16,1,1,21.8
"M10x1",1,2.95,1.2,11.5,26.5,16.9,3,7,12.57,13,16,1,1,21.8
"M12",1.75,3.2,1.2,14,30.5,19.4,3,8,14.57,15,18,1,1.2,29.4
"M12x1.5",1.5,3.2,1.2,14,30.5,19.4,3,8,14.57,15,18,1,1.2,29.4
"M12x1.25",1.25,3.2,1.2,14,30.5,19.4,3,8,14.57,15,18,1,1.2,29.4
"M14",2,3.45,1.2,16,33.5,22.4,4,8,16.16,17,21,1,1.2,45.8
"M14x1.5",1.5,3.45,1.2,16,33.5,22.4,4,8,16.16,17,21,1,1.2,45.8
"M16",2,3.7,1.2,18,36.5,25,4,8,18.66,19.5,24,1,1.2,63.1
"M16x1.5",1.5,3.7,1.2,18,36.5,25,4,8,18.66,19.5,24,1,1.2,63.1
