"ISO2339def"
"Dia","d","a"
"0.6 mm",0.6,0.08
"0.8 mm",0.8,0.1
"1 mm",1,0.12
"1.2 mm",1.2,0.16
"1.5 mm",1.5,0.2
"2 mm",2,0.25
"2.5 mm",2.5,0.3
"3 mm",3,0.4
"4 mm",4,0.5
"5 mm",5,0.63
"6 mm",6,0.8
"8 mm",8,1
"10 mm",10,1.2
"12 mm",12,1.6
"16 mm",16,2
"20 mm",20,2.5
"25 mm",25,3
"30 mm",30,4
"40 mm",40,5
"50 mm",50,6.3

"ISO2339length"
"nom","min","max"
"2",1.75,2.25
"3",2.75,3.25
"4",3.75,4.25
"5",4.75,5.25
"6",5.75,6.25
"8",7.75,8.25
"10",9.75,10.25
"12",11.5,12.5
"14",13.5,14.5
"16",15.5,16.5
"18",17.5,18.5
"20",19.5,20.5
"22",21.5,22.5
"24",23.5,24.5
"26",25.5,26.5
"28",27.5,28.5
"30",29.5,30.5
"32",31.5,32.5
"35",34.5,35.5
"40",39.5,40.5
"45",44.5,45.5
"50",49.5,50.5
"55",54.25,55.75
"60",59.25,60.75
"65",64.25,65.75
"70",69.25,70.75
"75",74.25,75.75
"80",79.25,80.75
"85",84.25,85.75
"90",89.25,90.75
"95",94.25,95.75
"100",99.25,100.75
"120",119.25,120.75
"140",139.25,140.75
"160",159.25,160.75
"180",179.25,180.75
"200",199.25,200.75

"ISO2339range"
"Dia","min_L","max_L"
"0.6 mm","4","8"
"0.8 mm","5","12"
"1 mm","6","16"
"1.2 mm","6","20"
"1.5 mm","8","24"
"2 mm","10","35"
"2.5 mm","10","35"
"3 mm","12","45"
"4 mm","14","55"
"5 mm","18","60"
"6 mm","22","90"
"8 mm","22","120"
"10 mm","26","160"
"12 mm","32","180"
"16 mm","40","200"
"20 mm","45","200"
"25 mm","50","200"
"30 mm","55","200"
"40 mm","60","200"
"50 mm","65","200"
