"ISO2340def"
"Dia","d_1","d_2","c","l_e"
"3 mm",3,0.8,1,1.6
"4 mm",4,1,1,2.2
"5 mm",5,1.2,2,2.9
"6 mm",6,1.6,2,3.2
"8 mm",8,2,2,3.5
"10 mm",10,3.2,2,4.5
"12 mm",12,3.2,3,5.5
"14 mm",14,4,3,6
"16 mm",16,4,3,6
"18 mm",18,5,3,7
"20 mm",20,5,4,8
"22 mm",22,5,4,8
"24 mm",24,6.3,4,9
"27 mm",27,6.3,4,9
"30 mm",30,8,4,10
"33 mm",33,8,4,10
"36 mm",36,8,4,10
"40 mm",40,8,4,10
"45 mm",45,10,4,12
"50 mm",50,10,4,12
"55 mm",55,10,6,14
"60 mm",60,10,6,14
"70 mm",70,13,6,16
"80 mm",80,13,6,16
"90 mm",90,13,6,16
"100 mm",100,13,6,16
