"ISO2340range"
"Dia","min_L","max_L"
"3 mm","6","30"
"4 mm","8","40"
"5 mm","10","50"
"6 mm","12","60"
"8 mm","16","80"
"10 mm","20","100"
"12 mm","24","120"
"14 mm","28","140"
"16 mm","32","160"
"18 mm","35","180"
"20 mm","40","200"
"22 mm","45","200"
"24 mm","50","200"
"27 mm","55","200"
"30 mm","60","200"
"33 mm","65","200"
"36 mm","70","200"
"40 mm","80","200"
"45 mm","90","200"
"50 mm","100","200"
"55 mm","120","200"
"60 mm","120","200"
"70 mm","140","200"
"80 mm","160","200"
"90 mm","180","200"
"100 mm","200","200"
