"ISO2342def"
"Dia","P","b","d_s_min","d_s_max","n_nom","n_min","n_max","t_min","t_max","x_max"
"M1",0.25,1.2,0.86,1,0.2,0.26,0.4,0.63,0.78,0.6
"M1.2",0.25,1.4,1.06,1.2,0.25,0.31,0.45,0.63,0.79,0.6
"M1.6",0.35,1.9,1.46,1.6,0.3,0.36,0.5,0.88,1.06,0.9
"M2",0.4,2.4,1.86,2,0.3,0.36,0.5,1,1.2,1
"M2.5",0.45,3,2.36,2.5,0.4,0.46,0.6,1.1,1.33,1.1
"M3",0.5,3.6,2.86,3,0.5,0.56,0.7,1.25,1.5,1.25
"(M3.5)",0.6,4.2,3.32,3.5,0.5,0.56,0.7,1.5,1.78,1.5
"M4",0.7,4.8,3.82,4,0.6,0.66,0.8,1.75,2.05,1.75
"M5",0.8,6,4.82,5,0.8,0.86,1,2,2.35,2
"M6",1,7.2,5.82,6,1,1.06,1.2,2.5,2.9,2.5
"M8",1.25,9.6,7.78,8,1.2,1.26,1.51,3.1,3.6,3.2
"M10",1.5,12,9.78,10,1.6,1.66,1.91,3.75,4.25,3.8

"ISO2342length"
"nominal","min","max"
"2.5",2.3,2.7
"3",2.8,3.2
"4",3.7,4.3
"5",4.7,5.3
"6",5.7,6.3
"8",7.7,8.3
"10",9.7,10.3
"12",11.6,12.4
"14",13.6,14.4
"16",15.6,16.4
"20",19.6,20.4
"25",24.6,25.4
"30",29.6,30.4
"35",34.5,35.5

"ISO2342range"
"Dia","Min_L","Max_L"
"M1","2.5","4"
"M1.2","3","5"
"M1.6","4","6"
"M2","5","8"
"M2.5","5","10"
"M3","6","12"
"M3.5","8","14"
"M4","8","14"
"M5","10","20"
"M6","12","25"
"M8","14","30"
"M10","16","35"
