"ISO262def"
"Dia","P_coarse","P_fine_1","P_fine_2"
"M1",0.25,,
"M1.2",0.25,,
"M1.4",0.3,,
"M1.6",0.35,,
"M1.8",0.35,,
"M2",0.4,,
"M2.5",0.45,,
"M3",0.5,,
"M3.5",0.6,,
"M4",0.7,,
"M5",0.8,,
"M6",1,,
"M7",1,,
"M8",1.25,1,
"M10",1.5,1.25,1
"M12",1.75,1.5,1.25
"M14",2,1.5,
"M16",2,1.5,
"M18",2.5,2,1.5
"M20",2.5,2,1.5
"M22",2.5,2,1.5
"M24",3,2,
"M27",3,2,
"M30",3.5,2,
"M33",3.5,2,
"M36",4,3,
"M39",4,3,
"M42",4.5,3,
"M45",4.5,3,
"M48",5,3,
"M52",5,4,
"M56",5.5,4,
"M60",5.5,4,
"M64",6,4,
"M68",6,4,
"M72",,6,4
"M76",,6,4
"M80",,6,4
"M85",,6,4
"M90",,6,4
"M95",,6,4
"M100",,6,4
