"ISO2936def"
"s_nom","l2","f"
"0.7",7,0.045
"0.9",11,0.055
"1.3",13,0.09
"1.5",15.5,0.1
"2",18,0.145
"2.5",20.5,0.18
"3",23,0.215
"3.5",25.5,0.255
"4",29,0.29
"4.5",30.5,0.325
"5",33,0.36
"6",38,0.43
"7",41,0.505
"8",44,0.575
"9",47,0.645
"10",50,0.715
"11",53,0.81
"12",57,0.88
"13",63,0.949
"14",70,1.02
"15",73,1.09
"16",76,1.16
"17",80,1.23
"18",84,1.3
"19",89,1.38
"21",96,1.52
"22",102,1.59
"23",108,1.66
"24",114,1.73
"27",127,1.94
"29",141,2.08
"30",142,2.15
"32",157,2.305
"36",176,2.585

"ISO2936keysizes"
"s_nom","Standard","Large","Extra large"
"0.7",33,0,0
"0.9",33,0,0
"1.3",41,63.5,81
"1.5",46.5,63.5,91.5
"2",52,77,102
"2.5",58.5,87.5,114.5
"3",66,93,129
"3.5",69.5,98.5,140
"4",74,104,144
"4.5",80,114.5,156
"5",85,120,165
"6",96,141,186
"7",102,147,197
"8",108,158,208
"9",114,169,219
"10",122,180,234
"11",129,191,247
"12",137,202,262
"13",145,213,277
"14",154,229,294
"15",161,240,307
"16",168,240,307
"17",177,262,337
"18",188,262,358
"19",199,0,0
"21",211,0,0
"22",222,0,0
"23",233,0,0
"24",248,0,0
"27",277,0,0
"29",311,0,0
"30",315,0,0
"32",347,0,0
"36",391,0,0
